time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined]
1653402752716,-0.14,0.13,0.9,1.58,1.24,7.88,18.15,-49.86,-41.73
1653402752764,1.06,-0.54,0.97,1.21,1.2,6.69,17.45,-18.39,-44.22
1653402752895,-0.26,0.13,0.79,-0.16,4.02,12.09,18.57,-65.99,-37.71
1653402752908,1.1,-0.36,1.14,1.54,1.24,7.78,18.15,-47.86,-42.05
1653402752924,-0.34,-1.89,-3.51,1.2,1.19,6.62,17.31,-15.76,-44.25
1653402752927,-0.4,-1.91,-3.79,1.15,1.19,6.42,17.41,-5.72,-44.78
1653402752932,-0.44,-1.91,-4.01,0.98,1.15,6.09,17.66,7.41,-45.23
1653402752937,-0.54,-1.94,-4.22,0.87,1.18,5.85,17.69,9.3,-45.2
1653402752942,-0.65,-1.93,-4.44,0.59,1.22,5.43,17.52,17.94,-45.2
1653402752946,-0.83,-1.89,-4.71,0.33,1.34,5.12,17.27,23.44,-44.43
1653402752951,-1.02,-1.79,-4.97,0.13,1.44,4.92,17.13,27.64,-42.92
1653402752956,-1.24,-1.66,-5.18,-0.17,1.67,4.71,16.85,28.9,-40.93
1653402752960,-1.43,-1.48,-5.29,-0.31,1.81,4.61,17.03,28.93,-39.81
1653402752965,-1.58,-1.29,-5.36,-0.46,2.02,4.53,17.17,27.43,-37.04
1653402752970,-1.68,-1.09,-5.38,-0.56,2.2,4.54,17.38,25.01,-34.63
1653402752974,-1.73,-0.91,-5.31,-0.63,2.38,4.53,17.9,22.21,-33.12
1653402752980,-1.76,-0.74,-5.24,-0.61,2.58,4.59,18.95,17.31,-31.44
1653402752984,-1.72,-0.59,-5.14,-0.56,2.74,4.63,19.86,12.48,-30.53
1653402752989,-1.64,-0.44,-5.03,-0.49,2.83,4.68,20.74,7.37,-30.25
1653402752994,-1.54,-0.33,-4.91,-0.48,2.99,4.71,21.37,2.37,-29.9
1653402752999,-1.49,-0.22,-4.82,-0.48,3.05,4.73,21.82,-2.39,-29.66
1653402753004,-1.47,-0.13,-4.74,-0.49,3.19,4.73,21.86,-5.58,-29.27
1653402753008,-1.47,-0.04,-4.67,-0.47,3.32,4.76,21.16,-10.16,-28.43
1653402753014,-1.44,0.05,-4.6,-0.4,3.39,4.77,19.93,-13,-27.66
1653402753018,-1.36,0.14,-4.51,-0.34,3.55,4.76,19.06,-13.94,-27.14
1653402753023,-1.29,0.23,-4.45,-0.36,3.6,4.75,17.06,-14.5,-26.33
1653402753028,-1.28,0.32,-4.42,-0.3,3.68,4.74,13.67,-13.8,-25.21
1653402753033,-1.22,0.38,-4.38,-0.22,3.81,4.79,10.17,-12.33,-24.23
1653402753037,-1.14,0.48,-4.3,-0.19,3.89,4.89,6.18,-10.2,-23.29
1653402753043,-1.09,0.55,-4.17,-0.23,3.96,5.06,1.31,-7.68,-22.03
1653402753047,-1.09,0.63,-3.99,-0.27,4.03,5.3,-4.01,-5.12,-20.59
1653402753052,-1.12,0.69,-3.73,-0.3,4.09,5.54,-9.58,-2.43,-19.05
1653402753056,-1.14,0.74,-3.46,-0.32,4.14,5.76,-15.18,0.06,-17.02
1653402753061,-1.14,0.81,-3.21,-0.33,4.23,6.02,-20.32,2.68,-14.57
1653402753066,-1.14,0.88,-2.94,-0.35,4.37,6.39,-24.59,4.78,-11.98
1653402753071,-1.14,1.02,-2.6,-0.34,4.57,7.06,-28.02,5.97,-8.76
1653402753076,-1.13,1.18,-2.12,-0.28,4.69,7.51,-30.26,5.41,-5.65
1653402753081,-1.07,1.36,-1.53,-0.15,4.78,8.04,-31.21,4.47,-3.16
1653402753085,-0.93,1.5,-0.87,0.19,4.89,9.05,-31.17,1.77,0.23
1653402753090,-0.68,1.6,-0.09,0.59,4.96,9.89,-28.97,-0.75,1.98
1653402753095,-0.32,1.67,0.74,0.95,5.02,10.5,-24.49,-2.39,2.44
1653402753100,0.07,1.75,1.42,1.23,5.11,10.98,-17.98,-2.11,1.88
1653402753105,0.38,1.8,1.92,1.32,5.15,11.25,-9.75,-0.22,0.06
1653402753109,0.56,1.86,2.3,1.43,5.21,11.63,-0.47,1.91,-1.9
1653402753115,0.66,1.88,2.59,1.41,5.21,11.85,9.29,4.29,-3.86
1653402753119,0.67,1.88,2.82,1.39,5.26,11.98,16.01,5.66,-5.19
1653402753124,0.65,1.87,2.97,1.31,5.29,11.98,26.09,8.11,-7.47
1653402753129,0.57,1.87,2.99,1.11,5.34,11.84,32.43,10.03,-8.69
1653402753134,0.39,1.88,2.86,0.77,5.36,11.5,36.66,12.9,-9.08
1653402753138,0.13,1.85,2.6,0.61,5.49,11.28,38.73,16.05,-9.01
1653402753143,-0.08,1.92,2.29,0.46,5.64,10.98,39.04,18.5,-8.52
1653402753148,-0.21,2.03,1.98,0.24,5.73,10.67,37.22,22.28,-7.29
