time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1664105575318.7,13.7,33.1,2.2,
1664105575335.7,13.7,33,2.2,x
1664105575352,12.6,33.2,4.1,x
1664105575368.6,12.4,32.8,4.6,x
1664105575385.3,12.3,32.6,5.1,x
1664105575401.9,12.4,33.1,5,x
1664105575418.7,12.4,33.3,5,x
1664105575435.4,12.5,33.3,5.1,x
1664105575452,12.6,33.2,5.1,x
1664105575468.8,12.8,33,5,x
1664105575485.3,13.1,32.9,4.8,x
1664105575501.9,13.7,32.9,4,x
1664105575518.5,14.1,32.8,3.5,x
1664105575535.7,14.7,32.6,2.6,x
1664105575552,15.1,32.3,2,x
1664105575572.2,15.4,32.2,1.8,x
1664105575587.4,15.6,32.2,1.6,x
1664105575603.9,15.9,32.3,1.3,x
1664105575620.5,16,32.5,1.1,x
1664105575637.5,16.3,32.6,1.1,x
1664105575654.9,16.4,32.3,1.1,x
1664105575670.8,16.5,32.2,1,x
1664105575687.6,16.7,32,0.8,x
1664105575703.8,17.1,31.5,0.1,x
1664105575720.6,17.3,31,-0.1,x
1664105575737.4,16.9,29.9,0.2,x
1664105575754.5,16.6,29.7,0.7,x
1664105575770.7,16.5,29.8,1,x
1664105575788.2,16.6,30.8,1.8,x
1664105575803.7,16.6,32.4,3.1,x
1664105575824.4,16.9,33.9,4,x
1664105575837.1,16.9,34.2,4.4,x
1664105575853.9,16.5,33.6,4.4,x
1664105575872.5,16.2,32.2,3.9,x
1664105575887.6,16.1,31.4,3.8,x
1664105575903.8,16.3,30.9,3,x
1664105575921.3,16.8,30.8,2.2,x
1664105575937.3,17.6,30.2,1,x
1664105575954.3,17.9,29.8,0.6,x
1664105575971.3,19.1,29.9,-1.5,x
1664105575989.4,19.2,30.1,-1.7,x
1664105576004,18.7,30.1,-0.7,x
1664105576020.6,18.6,30,-0.1,x
1664105576037.3,18.6,29.9,0.4,x
1664105576053.6,18.9,29.8,0.4,x
1664105576079.1,18.9,30,0.6,x
1664105576087.3,18.7,30.1,0.9,x
1664105576104.1,18,30,1.9,x
1664105576120.4,17.7,29.7,2.2,x
1664105576137.4,16.7,29.2,3.8,x
1664105576154.5,16.4,29.4,4.4,x
1664105576170.7,16.6,29.4,4.2,x
1664105576187.3,17.1,29.7,3.2,x
1664105576203.7,17.2,29.7,3,x
1664105576220.9,16.9,29.5,2.8,x
1664105576239.3,16.2,30.4,3.6,x
1664105576253.5,15.6,31.1,3.9,x
1664105576270.6,15.5,31,3.8,x
1664105576289.2,15.8,30.3,2.6,x
1664105576303.5,16.3,29.3,1.2,x
1664105576320.9,16.6,29,0.7,x
1664105576354.8,16.8,29,0.9,x
1664105576371,16.8,29.1,1,x
1664105576388.2,16.8,29.3,1.4,x
1664105576403.6,16.8,29.4,1.6,x
1664105576436.8,16.7,29.6,1.8,x
1664105576453.5,16.6,29.5,1.7,x
1664105576470.8,16.6,29.4,1.6,x
1664105576511.6,16.5,29.1,1.5,x
1664105576552.7,16.6,29.1,1.4,x
1664105576570,16.6,29.1,1.3,x
1664105576636.9,16.6,29.1,1.1,x
1664105576653.8,16.5,29.1,1,x
1664105576672.2,16.5,29,0.9,x
1664105576688.1,16.5,29.1,0.9,x
1664105576737,16.3,29.1,1,x
1664105576753.8,16.2,29.1,1.1,x
1664105576788.7,16.1,29.1,1,x
1664105576823,16,29.1,1,x
1664105576854,16,29.2,1,x
1664105576936.9,15.8,29.2,1,x
1664105576967.1,15.8,29.2,1.1,x
1664105577020,15.6,29.2,1.1,x
1664105577087.7,15.6,29.1,1.1,x
1664105577137.2,15.6,29.2,1.1,x
1664105577154.1,15.6,29.2,1,x
1664105577171.2,15.5,29.2,1,x
1664105577222.7,15.3,29.3,1,x
1664105577271.5,15.4,29.2,0.8,x
1664105577322.6,15.3,29.3,1,x
1664105577354.1,15.2,29.4,1.1,x
1664105577403.3,15.1,29.4,1,x
1664105577433.3,15.1,29.3,0.9,x
1664105577502.9,15,29.2,1,x
1664105577570.8,15,29.2,0.8,x
1664105577587.3,15.1,29.2,0.8,x
1664105577723.1,15.1,29.3,0.6,x
1664105577755,15,29.4,0.6,x
1664105577874.4,14.9,29.5,0.5,x
1664105577903.8,14.9,29.5,0.6,x
1664105577938.8,14.9,29.5,0.5,x
1664105578037.1,15,29.5,0.6,x
1664105578071,15,29.6,0.5,x
1664105578104.2,15,29.7,0.5,x
