time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1666170474283.4,0,0,0,x
1666170474300.1,82.5,25.9,13.6,x
1666170474316.7,81.5,25.7,13.3,x
1666170474333.5,81.1,25.7,13.1,x
1666170474350.4,80.3,25.9,12.5,x
1666170474366.7,79.3,26.2,12,x
1666170474383.8,78.8,26.3,11.9,x
1666170474400.1,77.6,26.6,11.9,x
1666170474416.8,76.5,26.9,11.8,x
1666170474434.2,76.1,27.1,11.5,x
1666170474450,75.6,27.6,10.4,x
1666170474466.8,74.9,28,9.4,x
1666170474483.4,73.7,28.4,8.9,x
1666170474500,73,28.4,8.8,x
1666170474516.7,71.5,28.4,8.8,x
1666170474533.6,70.8,28.3,8.7,x
1666170474550,69.9,27.9,8,x
1666170474567.3,69.5,27.7,7.5,x
1666170474583.4,68.5,27.5,6.8,x
1666170474600.1,67.3,27.5,6.5,x
1666170474616.7,66.1,27.6,6.6,x
1666170474633.4,65.1,27.7,6.5,x
1666170474650,64.7,27.8,6.4,x
1666170474672.1,64.2,28,5.8,x
1666170474683.4,64,28.2,5.4,x
1666170474700.1,63.7,28.8,4.7,x
1666170474716.7,63.3,29.5,4.2,x
1666170474733.4,63.1,29.8,4,x
1666170474750,62.7,30.6,3.8,x
1666170474766.8,62.5,31.3,3.6,x
1666170474783.8,62.5,31.6,3.3,x
1666170474800.1,62.6,32.2,2.8,x
1666170474817.1,62.6,32.5,2.7,x
1666170474833.4,62.7,33,2.7,x
1666170474850.1,62.9,33.3,3.1,x
1666170474866.7,63,33.1,3.3,x
1666170474883.3,63.1,31.8,3.2,x
1666170474900,62.8,29.2,2.6,x
1666170474917.4,62.6,27.5,2.1,x
1666170474934.4,62.3,25.7,1.4,x
1666170474950,61.7,22.8,0.4,x
1666170474967.2,61.7,20.2,-0.2,x
1666170474983.3,62,19.7,0.1,x
1666170475000,62.6,19.4,0.5,x
1666170475016.7,64.9,20.1,1.9,x
1666170475033.4,65.6,20.7,2.2,x
1666170475050.1,66.6,22.1,2.5,x
1666170475066.8,67,22.8,2.5,x
1666170475083.4,67.4,24,2.3,x
1666170475100.1,67,24.8,2,x
1666170475116.6,65.9,25.1,1.7,x
1666170475133.3,65.2,25,1.8,x
1666170475150.1,64.3,24.8,2,x
1666170475166.6,62.5,24.2,3,x
1666170475183.3,60.6,23.7,4.5,x
1666170475230.6,57.6,23.9,8.4,x
1666170475250,57.3,24.2,9.4,x
1666170475266.7,57.4,24.4,10.3,x
1666170475283.5,57.7,24.4,10.6,x
1666170475300,58.4,24.4,11.1,x
1666170475316.7,59.2,24.4,11.3,x
1666170475333.4,59.7,24.4,11.2,x
1666170475350,60.6,24.7,10.9,x
1666170475366.7,61.6,25.1,10.4,x
1666170475384,62.5,25.4,10,x
1666170475433.4,64.5,25.8,9.7,x
1666170475450,65.4,26.1,9.6,x
1666170475466.7,66.3,26.3,9.4,x
1666170475483.4,66.7,26.4,9.3,x
1666170475500,67.5,26.7,9.1,x
1666170475516.7,68.2,27,9.3,x
1666170475533.5,68.6,27.1,9.4,x
1666170475549.9,69.4,27.1,9.9,x
1666170475566.7,70,26.7,10.3,x
1666170475583.5,70.2,26.5,10.4,x
1666170475600,70.7,26.1,10.4,x
1666170475616.7,71.1,26.1,10.1,x
1666170475633.3,71.3,26.2,10,x
1666170475650.3,71.9,26.6,9.7,x
1666170475666.7,72.7,27.1,9.5,x
1666170475683.3,73.1,27.5,9.4,x
1666170475700,74.1,28.2,9.3,x
1666170475716.6,74.7,28.5,9.1,x
1666170475733.3,75.3,28.8,8.8,x
1666170475750,76.6,29.2,7.9,x
1666170475766.7,77.8,29.1,6.6,x
1666170475783.4,78.3,29,5.8,x
1666170475800,78.9,27.9,3.5,x
1666170475833.3,78.2,26.4,2,x
1666170475850,77.5,25.6,1.9,x
1666170475866.7,77.2,25.3,2,x
1666170475883.5,76.9,25.1,2.6,x
1666170475900.1,77,25.1,2.9,x
1666170475916.7,77.6,25.2,3.8,x
1666170475933.3,77.8,25.3,4,x
1666170475950,78.4,25.4,4.3,x
1666170475966.7,79,25.6,4.1,x
1666170475983.3,79.3,25.7,4,x
1666170475999.9,79.7,25.9,3.6,x
1666170476017,79.8,26,3.4,x
1666170476033.3,79.9,26.1,3,x
1666170476050,79.7,26.2,3,x
1666170476066.7,79.4,26.4,3.1,x
1666170476083.3,79.2,26.5,3.3,x
1666170476100.3,79,26.6,3.4,x
1666170476116.8,78.8,26.7,3.5,x
1666170476133.3,78.5,26.9,3.8,x
1666170476183,77.5,27.4,4.8,x
1666170476199.9,77.4,27.4,5.2,x
1666170476216.6,77.4,27.2,5.5,x
1666170476233.5,77.4,27,5.5,x
1666170476250,77.5,26.4,5.2,x
1666170476266.6,77.6,25.6,4.5,x
1666170476283.3,77.6,25.1,4,x
1666170476299.9,77.6,24.4,2.9,x
1666170476316.7,77.5,24.2,1.9,x
1666170476344,77.4,24.8,1.3,x
1666170476350.3,77.4,25.3,1.1,x
1666170476366.6,77.7,26.5,1,x
1666170476383.3,77.9,27,0.9,x
1666170476400,78.2,28,0.9,x
1666170476416.6,78,28.5,0.9,x
1666170476433.2,77.6,28.7,1,x
1666170476450,76.4,28.6,1.4,x
1666170476466.7,75.6,28.5,1.7,x
1666170476483.3,73.9,28.1,2.6,x
1666170476500.3,72.3,27.8,3.8,x
1666170476516.7,71,27.6,4.9,x
1666170476549.9,69.4,27.7,6.4,x
1666170476566.6,68.6,27.9,7.2,x
1666170476583.2,68.2,27.9,7.5,x
1666170476600,67.6,27.9,8.1,x
1666170476616.6,67.1,27.8,8.5,x
1666170476633.3,66.9,27.7,8.7,x
1666170476649.9,66.5,27.4,9,x
1666170476666.7,66.2,26.9,9.3,x
1666170476683.3,66.1,26.7,9.4,x
1666170476700,66,26.2,9.5,x
1666170476716.6,66,25.9,9.6,x
1666170476733.3,66,25.7,9.6,x
1666170476749.9,66.1,25.4,9.8,x
1666170476766.7,66.3,25.4,9.9,x
1666170476783.3,66.5,25.4,10.1,x
1666170476800,67.1,25.6,10.3,x
