time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined]
1653401301817,-0.46,-1.4,-1.92,-1.9,3.33,9.26,4.67,-22.31,-19.86
1653401301907,1.28,-0.83,2.03,-1.95,3.3,9.14,16.19,-30.05,-27.91
1653401301913,-0.65,-1.49,-1.89,-1.55,3.52,10.4,-0.72,-21.54,-16.11
1653401301919,-0.63,-1.44,-1.55,-0.17,1.08,8.66,-12.55,-20.59,-8.59
1653401301923,-0.51,-1.32,-1.4,0.09,1.35,8.86,-24.35,-20.94,-2.46
1653401301928,-0.28,-1.05,-1.18,0.16,1.63,8.8,-32.57,-20.7,0.62
1653401301933,-0.13,-0.66,-1.13,0.16,2.13,8.67,-42.76,-15.83,2.82
1653401301938,-0.12,-0.22,-1.23,-0.28,2.51,8.69,-48.15,-7.01,2.72
1653401301942,-0.35,0.22,-1.23,-0.69,2.83,8.83,-51.86,4.29,2.89
1653401301947,-0.79,0.57,-1.1,-0.91,3.04,8.98,-54.97,15.7,3.87
1653401301952,-1.05,0.88,-0.94,-0.92,2.9,9.15,-57.74,23.3,5.34
1653401301956,-1.09,0.91,-0.77,-0.85,2.65,9.26,-63.41,32.22,8.88
1653401301961,-0.95,0.65,-0.61,-0.7,2.2,9.21,-68.55,37.37,11.29
1653401301966,-0.77,0.28,-0.63,-0.15,2.09,8.97,-73.9,43.32,10.98
1653401301971,-0.35,0.16,-0.78,-0.05,1.74,8.72,-79.36,50.7,9.93
1653401301976,0.01,0.02,-1.03,-0.19,1.47,8.52,-83.35,56.23,10.63
1653401301981,-0.08,-0.26,-1.27,-0.74,1.05,7.81,-89.41,66.83,14.58
1653401301985,-0.39,-0.51,-1.73,-1.2,0.81,7.34,-94.52,77.93,20.67
1653401301990,-0.88,-0.75,-2.33,-1.81,0.43,7.18,-99.42,88.15,28.72
1653401301995,-1.39,-1.02,-2.52,-2.21,-0.01,7.92,-102.88,92.87,37.79
1653401302000,-1.68,-1.25,-2.01,-2.32,-0.26,8.55,-105.47,88.15,49.37
1653401302005,-1.75,-1.48,-1.22,-2.49,-0.39,9.65,-105.93,80.17,56.65
1653401302010,-1.8,-1.53,-0.34,-2.74,-0.19,10.55,-104.18,60.29,68.62
1653401302015,-1.89,-1.36,0.45,-2.83,-0.08,10.84,-101.48,46.01,76.01
1653401302019,-2.04,-1.06,1.06,-3.05,0.17,11.19,-96.41,26.24,85.42
1653401302024,-2.21,-0.74,1.42,-3.17,0.33,11.28,-91.58,11.71,92.46
1653401302029,-2.3,-0.49,1.51,-3.18,0.43,11.16,-82.34,-10.02,103.73
1653401302034,-2.31,-0.32,1.38,-3.18,0.51,10.87,-76.14,-21.08,110.34
1653401302039,-2.32,-0.2,1.15,-3.23,0.47,10.51,-64.17,-36.66,122.59
1653401302044,-2.34,-0.14,0.85,-3.22,0.42,10.39,-60.29,-40.06,126.23
1653401302048,-2.35,-0.17,0.56,-3.18,0.24,10.25,-49.2,-46.5,136.1
1653401302053,-2.33,-0.26,0.37,-3.11,0.13,10.42,-44.61,-48.21,138.8
1653401302057,-2.26,-0.39,0.5,-2.76,-0.12,10.89,-41.64,-48.95,140.16
1653401302062,-2.05,-0.55,0.85,-2.38,-0.32,11.05,-33.87,-49.37,141.11
1653401302067,-1.7,-0.73,1.08,-2.13,-0.43,11.05,-26.94,-46.95,140.79
1653401302072,-1.37,-0.87,1.09,-1.81,-0.51,10.9,-18.96,-41.95,139.81
1653401302077,-1.06,-0.94,0.95,-1.47,-0.54,10.48,-10.03,-33.79,138.45
