time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1658433755112,-0.02,0.13,0.31,-0.11,-4.71,-8.21,-10.12,10.7,-5.03,x
1658433755124,-0.07,0.02,0,-3.09,-4.33,-8.26,-8.31,9.85,5.63,x
1658433755141,-0.07,0.09,-0.46,-3.08,-4.24,-8.73,-5.15,7.61,5.66,x
1658433755157,-0.11,0.1,-0.36,-3.11,-4.22,-8.64,-3.6,4.37,3.65,x
1658433755174,-0.19,-0.06,-0.27,-3.18,-4.37,-8.56,-1.78,2.9,1.69,x
1658433755191,-0.1,0.01,-0.26,-3.09,-4.3,-8.55,-0.26,5.16,0.8,x
1658433755207,-0.05,0.04,-0.24,-3.03,-4.26,-8.53,0.99,6.2,0.86,x
1658433755224,0.03,0.04,-0.01,-2.94,-4.27,-8.31,0.72,3.29,1.05,x
1658433755241,0.05,0.03,0.01,-2.91,-4.27,-8.29,0.78,2.99,1.27,x
1658433755257,0.04,0.02,-0.05,-2.92,-4.29,-8.34,1.99,3.93,0.98,x
1658433755274,-0.13,0.04,0.05,-3.08,-4.27,-8.25,-0.15,1.01,-0.97,x
1658433755291,-0.07,0.03,0.24,-3.01,-4.28,-8.07,-1.61,0.32,-1.75,x
1658433755307,0.05,0.09,0.11,-2.89,-4.21,-8.19,-0.37,2.09,-0.14,x
1658433755324,0.17,0.1,-0.05,-2.77,-4.21,-8.36,0.81,0.65,0.71,x
1658433755341,0,0.05,0.13,-2.93,-4.26,-8.17,-0.09,1.48,0.33,x
1658433755357,0.01,0.01,0.14,-2.92,-4.3,-8.17,-0.23,1.61,0.86,x
1658433755374,0,0.01,0.01,-2.93,-4.29,-8.3,-0.09,0.8,0.44,x
1658433755391,0.02,0,0.13,-2.91,-4.3,-8.18,-1.37,0.29,-0.04,x
1658433755407,-0.03,-0.04,0.17,-2.96,-4.35,-8.15,-1.98,2.63,-0.16,x
1658433755424,0.06,0.04,-0.06,-2.85,-4.25,-8.38,-0.43,2.78,0.59,x
1658433755440,0,0.06,0.01,-2.91,-4.24,-8.31,-0.58,1.01,0.45,x
1658433755457,0.05,0.06,0.04,-2.87,-4.24,-8.28,-0.76,-0.4,0.93,x
1658433755474,0.01,0,-0.01,-2.9,-4.3,-8.33,0.14,0.97,0.6,x
1658433755491,0.01,0.02,-0.04,-2.9,-4.27,-8.36,0.57,1.22,0.44,x
1658433755507,-0.03,0.02,0.03,-2.94,-4.28,-8.29,-0.22,0.17,-0.05,x
1658433755524,-0.02,0.04,0.09,-2.94,-4.26,-8.23,-1.26,-0.88,-0.48,x
1658433755540,0.01,0.04,0.04,-2.91,-4.25,-8.28,-1.12,1.27,-0.23,x
1658433755557,0.05,0.07,-0.06,-2.86,-4.22,-8.38,0.43,1.9,0.12,x
1658433755574,0.05,0.05,0.01,-2.86,-4.24,-8.31,0.02,-0.22,0.05,x
1658433755591,0.1,0.04,0.06,-2.81,-4.25,-8.26,0.03,0.5,0.88,x
1658433755607,0.08,0.01,0.03,-2.82,-4.28,-8.3,-0.2,1.79,1.12,x
1658433755624,-0.04,0,0.13,-2.94,-4.29,-8.2,-1.53,1.6,0.25,x
1658433755641,-0.07,0.02,0.08,-2.97,-4.26,-8.25,-1.81,0.08,-0.31,x
1658433755657,0.01,0.05,0.02,-2.89,-4.23,-8.32,-1.72,-0.91,0.08,x
1658433755674,0.01,0.04,-0.01,-2.9,-4.23,-8.35,-1.07,-0.17,0.12,x
1658433755691,0.04,0.04,-0.06,-2.86,-4.23,-8.39,-0.27,0.06,0.66,x
1658433755707,0.05,0.06,-0.07,-2.85,-4.21,-8.41,0.46,0.33,0.39,x
1658433755724,0.02,-0.03,-0.03,-2.88,-4.3,-8.36,0.38,1.06,0.13,x
1658433755741,0.02,-0.02,0.06,-2.88,-4.29,-8.28,-0.01,1.6,0.03,x
1658433755757,0.02,0.01,0.09,-2.87,-4.27,-8.25,-0.39,1.53,0.09,x
1658433755774,0.06,0.03,-0.02,-2.83,-4.24,-8.36,0.29,-0.59,0.16,x
1658433755791,0,0.03,0.03,-2.89,-4.24,-8.31,0.02,-1.24,-0.03,x
1658433755807,0,0.03,0.03,-2.9,-4.24,-8.31,0.35,-1.03,-0.07,x
1658433755824,-0.01,0.03,0.02,-2.91,-4.25,-8.31,0.27,-0.06,-0.21,x
1658433755840,0.01,0.04,0.04,-2.89,-4.23,-8.3,0.25,0.16,-0.01,x
1658433755857,0.01,0.02,0.1,-2.89,-4.25,-8.24,-0.2,0.36,-0.3,x
1658433755874,0.01,0.03,0.1,-2.89,-4.25,-8.24,-0.29,1.42,-0.21,x
1658433755891,0.09,0.04,0.03,-2.8,-4.23,-8.31,-0.32,1.35,0.46,x
1658433755907,0.1,0.02,0.06,-2.79,-4.25,-8.28,-0.34,-0.42,0.82,x
1658433755924,0.08,0.06,0,-2.81,-4.21,-8.34,-0.27,-1.57,0.89,x
1658433755941,-0.07,-0.02,0.05,-2.97,-4.29,-8.28,-0.84,-0.46,0.22,x
1658433755957,-0.09,0.02,0.04,-2.99,-4.25,-8.3,-0.85,1.36,-0.61,x
1658433755974,-0.07,0.02,-0.03,-2.97,-4.25,-8.37,0.22,1.61,-0.53,x
1658433755991,0.02,0.05,0.06,-2.87,-4.21,-8.29,-0.43,0.38,-0.52,x
1658433756007,0.04,0.04,0.13,-2.85,-4.23,-8.22,-0.63,-0.22,-0.43,x
1658433756024,0.04,0.02,0.1,-2.85,-4.24,-8.25,-0.94,-0.03,-0.26,x
1658433756041,0.07,0.05,0.07,-2.82,-4.21,-8.28,-1.11,0.08,-0.19,x
1658433756057,0.05,0.05,0.05,-2.84,-4.21,-8.29,-1.13,-0.5,-0.59,x
1658433756074,0.01,0.04,0.16,-2.88,-4.21,-8.19,-2.2,0.91,-0.36,x
1658433756091,0.01,0.01,0.09,-2.87,-4.24,-8.27,-2.14,0.68,-0.12,x
1658433756107,0,0.02,0.08,-2.89,-4.22,-8.28,-3.06,0.93,-0.53,x
1658433756124,0,0.04,0.03,-2.88,-4.2,-8.33,-2.06,1.37,-0.31,x
1658433756141,0.02,0.03,-0.09,-2.85,-4.21,-8.45,-1.16,0.98,-0.37,x
1658433756157,0,0.04,-0.11,-2.88,-4.19,-8.47,0.04,-0.04,-0.58,x
1658433756174,0,0.01,-0.08,-2.87,-4.22,-8.45,0.29,0.08,-0.65,x
1658433756191,0,0.01,0,-2.88,-4.22,-8.36,0.04,1.02,-0.4,x
1658433756207,-0.01,0,0.02,-2.88,-4.24,-8.35,0.33,0.43,-0.67,x
1658433756224,0.02,0.02,0.03,-2.85,-4.22,-8.33,-0.35,0.65,-0.76,x
1658433756241,0.03,0.02,0.08,-2.84,-4.22,-8.29,-0.44,0.71,-0.57,x
1658433756257,0.06,0.01,0.03,-2.8,-4.23,-8.34,-0.2,0.47,0.03,x
1658433756274,0.14,0.03,0.06,-2.72,-4.21,-8.31,0.05,-0.13,0.69,x
1658433756291,0.08,0.01,0.03,-2.79,-4.23,-8.34,-0.02,0.32,0.83,x
1658433756307,0.05,0.01,0.02,-2.81,-4.23,-8.35,-0.04,0.81,0.63,x
1658433756324,0.02,0.01,0.03,-2.84,-4.22,-8.34,-0.33,0.44,0.6,x
1658433756341,-0.01,0.03,0.07,-2.88,-4.2,-8.31,-0.93,-0.31,0.24,x
1658433756357,-0.03,0.03,0.04,-2.9,-4.2,-8.33,-0.8,-0.8,0.23,x
1658433756374,-0.03,0.03,-0.01,-2.9,-4.19,-8.38,0.06,0.54,-0.09,x
1658433756391,-0.02,0.09,-0.08,-2.89,-4.14,-8.45,0.78,0.83,0.01,x
1658433756407,-0.02,0.05,-0.05,-2.88,-4.18,-8.43,0.77,-0.02,-0.31,x
1658433756424,-0.01,0.05,0.03,-2.87,-4.19,-8.34,0.28,0.08,-0.75,x
1658433756441,0,0.03,0.14,-2.86,-4.2,-8.23,-0.16,0.31,-1.25,x
1658433756457,0,0.03,0.1,-2.86,-4.21,-8.27,-0.21,1.02,-0.77,x
1658433756474,0.11,0.06,0.04,-2.74,-4.18,-8.34,-0.18,1.12,0.11,x
1658433756491,0.07,0.04,0.11,-2.78,-4.19,-8.26,-1.06,-0.17,0.38,x
1658433756507,0.04,-0.01,0.08,-2.82,-4.24,-8.3,-1.2,-1.03,0.17,x
1658433756524,0,0.01,0.01,-2.86,-4.21,-8.36,-0.47,-0.22,0.03,x
1658433756541,-0.02,0.04,-0.06,-2.88,-4.18,-8.43,0.42,1.03,-0.15,x
1658433756557,0.02,0.04,-0.07,-2.84,-4.19,-8.44,0.74,1.13,0.3,x
1658433756574,0.02,0,0.08,-2.83,-4.22,-8.3,-0.36,-0.54,-0.04,x
1658433756591,0.02,0.04,0.01,-2.84,-4.18,-8.37,0.26,0.12,0.21,x
1658433756607,0.08,0.03,-0.04,-2.77,-4.19,-8.41,0.58,0.96,0.22,x
1658433756624,0,0.02,0.03,-2.85,-4.21,-8.34,0.58,0.61,0.1,x
1658433756641,0.04,0.06,0.08,-2.81,-4.17,-8.3,0.16,-0.08,0.08,x
1658433756657,0,0.05,0.15,-2.85,-4.18,-8.22,-0.86,0.37,-0.71,x
1658433756674,-0.01,0.04,0.05,-2.86,-4.19,-8.32,-0.31,0.87,-0.1,x
1658433756691,0.05,0.03,0.07,-2.79,-4.2,-8.31,-0.45,0.31,0,x
1658433756707,0,0.01,0.1,-2.85,-4.21,-8.28,-0.87,1.22,0.02,x
1658433756724,0,0,0.07,-2.84,-4.22,-8.32,-1.24,2.46,-0.55,x
1658433756741,0.01,0.07,0.04,-2.83,-4.15,-8.34,-1.17,1.22,-0.79,x
1658433756757,-0.02,0.06,0.02,-2.85,-4.16,-8.37,-0.75,0.6,-0.53,x
1658433756774,0.07,0.08,-0.02,-2.75,-4.14,-8.41,-0.54,0.29,0.08,x
1658433756791,0,0.02,-0.07,-2.83,-4.2,-8.46,0.15,1.02,-0.1,x
1658433756807,-0.02,0.03,-0.07,-2.84,-4.18,-8.46,-0.05,0.83,-0.65,x
1658433756824,-0.05,-0.02,0.06,-2.87,-4.24,-8.33,-1.06,1.18,-1.23,x
1658433756841,0.01,0.02,-0.04,-2.8,-4.2,-8.43,-0.79,1.29,-0.99,x
1658433756857,0.07,0.04,-0.06,-2.74,-4.18,-8.45,0.03,0.72,-0.76,x
1658433756874,0.03,0.02,0,-2.78,-4.19,-8.4,-0.78,2.01,-1.04,x
1658433756891,0.02,-0.04,0.1,-2.79,-4.25,-8.3,-1.19,2.64,-0.97,x
1658433756907,0.09,-0.04,0.03,-2.71,-4.26,-8.37,-0.23,0.37,-0.17,x
1658433756924,0.18,-0.02,-0.01,-2.63,-4.23,-8.41,0.49,-2.34,0.93,x
1658433756941,0.19,-0.06,0.02,-2.62,-4.27,-8.38,0.93,-0.98,1.91,x
1658433756957,0.18,-0.09,0.04,-2.63,-4.3,-8.35,0.32,0.95,2.59,x
1658433756974,0.12,-0.01,0.11,-2.69,-4.22,-8.28,-0.53,0.29,2.62,x
1658433756991,0.09,0.03,0.07,-2.72,-4.18,-8.33,-0.53,-0.44,3.01,x
1658433757007,0.09,0.03,0.07,-2.73,-4.17,-8.33,-0.23,-0.2,3.34,x
1658433757024,0.07,0.03,-0.01,-2.75,-4.17,-8.41,0.22,0.04,3.62,x
1658433757041,-0.01,0.03,-0.01,-2.84,-4.17,-8.41,0.46,0.52,3.24,x
1658433757057,-0.03,0.07,-0.02,-2.86,-4.13,-8.42,0.82,1.35,2.95,x
1658433757074,-0.08,0.06,0.01,-2.91,-4.14,-8.39,0.64,0.78,2.08,x
1658433757091,-0.13,0.06,0.07,-2.96,-4.13,-8.33,0.23,0.55,1.34,x
1658433757107,-0.1,0.08,0.02,-2.93,-4.12,-8.38,0.49,0.76,0.94,x
1658433757124,-0.05,0.08,0.01,-2.87,-4.12,-8.39,0.48,0.5,0.81,x
