time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1653397929246.9,-0.2,0.1,0.6,-0.8,4.6,9.3,-7.9,-5.7,-4.5,
1653397929263,-0.2,0.1,0.6,-0.7,4.5,9.3,-6.9,-4.9,-2.3,x
1653397929287.3,-0.2,0.1,0.5,-0.8,4.5,9.3,-5.9,-5.2,-2.2,x
1653397929296.4,-0.2,0.2,0.6,-0.9,4.5,9.3,-4.8,-5.4,-2.3,x
1653397929313,-0.3,0.2,0.6,-1,4.5,9.4,-1.4,-6.1,-2.3,x
1653397929329.6,-0.3,0.3,0.6,-1,4.6,9.3,1.3,-7.6,-1.7,x
1653397929346.1,-0.2,0.3,0.3,-1,4.6,9,8.7,-10.9,0.5,x
1653397929362.9,-0.1,0.5,0,-0.9,4.8,8.7,11.6,-7.2,3.6,x
1653397929379.7,0,0.4,-0.2,-0.9,4.8,8.6,11.7,-4.9,5,x
1653397929396.3,0,0.1,-0.3,-0.8,4.7,8.3,8.6,-2.8,7,x
1653397929413,0.1,0,-0.2,-0.8,4.5,8.5,4.8,-4,8.1,x
1653397929429.6,0.1,-0.1,-0.2,-0.8,4.4,8.4,4.1,-4.8,8.8,x
1653397929446.5,0.3,-0.2,-0.3,-0.5,4.3,8.3,4.8,-5.1,10.5,x
1653397929463,0.6,-0.2,-0.5,-0.1,4.4,8.1,3.7,0.1,10,x
1653397929479.6,0.5,-0.1,-0.4,-0.1,4.4,8.2,1.6,2.8,8.6,x
1653397929496.2,0,-0.4,-0.2,-0.5,4.2,8.4,-2.4,4.5,6.7,x
1653397929513,0.2,-0.2,-0.1,-0.3,4.3,8.6,-3.8,1.9,9.2,x
1653397929529.6,0.3,-0.2,-0.1,-0.2,4.3,8.6,-4.4,1,10,x
1653397929546.3,0.3,-0.3,0,-0.1,4.2,8.7,-6.2,0.7,9.5,x
1653397929563,0.2,-0.1,0.3,-0.1,4.2,9,-6.8,2.6,7.3,x
1653397929579.6,0,0,0.5,-0.2,4.3,9.3,-6.1,3.8,6.4,x
1653397929596.3,-0.2,0,0.5,-0.4,4.2,9.3,-2,1.9,5.2,x
1653397929613,-0.1,0.2,0.2,-0.4,4.4,9,3.1,-3.2,4.5,x
1653397929629.6,0,0.3,0,-0.3,4.5,8.8,5.6,-4.2,4.5,x
1653397929646.3,0,0.3,-0.3,-0.2,4.6,8.5,7.6,-1.8,4.3,x
1653397929662.7,0,0.2,-0.4,-0.3,4.6,8.4,3.8,0.6,4.4,x
1653397929679.7,0,0.2,-0.3,-0.3,4.7,8.5,0.1,3.4,4.3,x
1653397929696.3,-0.1,0.1,-0.1,-0.5,4.6,9,-6.3,4.5,5.1,x
1653397929713.3,0,-0.1,0.5,-0.4,4.4,9.2,-5.3,-2.3,6.8,x
1653397929729.8,0.2,0,0.5,-0.2,4.5,9.2,-2.8,-5.5,7.6,x
1653397929748.4,0.3,0.3,0.3,0,4.7,9.1,2.5,-3.2,5,x
1653397929763,0.1,0.2,0.1,-0.1,4.6,8.9,4.8,-0.2,3,x
1653397929779.7,0.1,0.2,0.1,-0.1,4.6,8.8,5,0.3,3.3,x
1653397929796.3,0.1,0.1,0.1,-0.1,4.6,8.8,2.9,-1.7,4,x
1653397929813,0.2,0,0.2,0.1,4.5,8.9,1.1,-4,4,x
1653397929830.2,0.2,0,0.2,0.1,4.5,8.9,0.7,-4.4,2.7,x
1653397929846.5,0,0,0.2,0,4.5,8.9,2.3,-4.4,1.3,x
1653397929862.9,0.1,0,0.1,0,4.5,8.8,3.7,-4.3,1.5,x
1653397929879.6,0,0.1,0.1,0,4.5,8.9,3.2,-3.8,1.6,x
1653397929896.2,0,0,0.2,0,4.4,8.9,1.5,-4.8,1.6,x
1653397929913,0,0,0.3,0,4.4,9.1,2,-7.6,0.5,x
1653397929929.7,0,0,0.3,0,4.4,9.1,4.6,-9.3,-0.9,x
1653397929946.2,-0.1,0.1,0,-0.1,4.4,8.8,8.9,-8.6,-1.8,x
1653397929963.4,-0.1,0.1,-0.4,-0.1,4.5,8.4,9.5,-7.9,-0.8,x
