time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1655202433501.3,0.1,0.1,-0.3,-0.3,4.5,8.5,1.7,2.7,-0.4,x
1655202433518.1,0,0.2,-0.2,-0.3,4.5,8.6,-2.4,3.5,0.2,x
1655202433534.6,-0.1,0.1,0.2,-0.4,4.4,9,-6.8,0.7,0.7,x
1655202433551.4,-0.1,0,0.4,-0.4,4.3,9.2,-4,-2.9,1.4,x
1655202433568.1,0,0,0.3,-0.4,4.3,9.1,-1.6,-3,1.2,x
1655202433584.8,0,0,0,-0.4,4.3,8.8,2.3,1.4,0.3,x
1655202433601.4,0,0,-0.1,-0.4,4.3,8.7,3,3.2,0.7,x
1655202433617.9,0,0,-0.3,-0.3,4.3,8.5,1.4,2.9,1.5,x
1655202433634.7,0.1,-0.1,-0.2,-0.2,4.2,8.6,-1.6,0.4,1.6,x
1655202433651.3,0.1,-0.1,0,-0.3,4.2,8.8,-3.8,1.4,1.4,x
1655202433668,0.1,-0.1,0.1,-0.3,4.2,8.9,-4.4,1.6,1.4,x
1655202433684.7,0,-0.1,0.2,-0.3,4.1,9,-4.1,0.9,1,x
1655202433701.4,0,-0.1,0.2,-0.3,4.2,9,-3.7,-0.2,0.6,x
1655202433718.3,0.1,0,0.1,-0.2,4.3,8.9,-1.4,-1.6,0,x
1655202433735.1,0.1,0,-0.1,-0.2,4.3,8.7,0.3,0.7,-0.7,x
1655202433751.5,0.1,0,-0.1,-0.4,4.2,8.7,-0.5,2.2,-1.3,x
1655202433768.3,-0.1,0,0,-0.4,4.2,8.9,-2.9,1.5,-2.3,x
1655202433785.1,-0.1,0,0.1,-0.4,4.3,9,-2.5,-1.4,-2.7,x
1655202433804.8,-0.3,0.1,0.1,-0.7,4.4,8.9,-1.1,-3.2,-3.3,x
1655202433818.2,-0.4,0.2,0,-0.7,4.4,8.8,-1.2,-2.5,-1.9,x
