time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined]
1653402803582,1.17,0.68,3.87,1.26,3.58,12.28,-6.21,-47.27,13.5
1653402803584,1.14,0.65,3.9,1.08,3.7,12.43,-6.21,-47.27,13.5
1653402803589,-0.4,-0.98,0.32,0.03,2.47,9.59,-6.21,-47.27,13.5
1653402803741,-0.53,-0.83,0.33,0.02,2.52,9.62,-2.48,-36.47,14.68
1653402803743,-0.63,-0.59,0.37,-0.02,2.74,9.72,30.64,30.75,39.4
1653402803748,-0.66,-0.34,0.5,0.09,3.15,10.1,30.05,14.58,42.2
1653402803753,-0.63,-0.07,0.73,0.23,3.27,10.29,29.94,3.66,43.28
1653402803757,-0.5,0.13,0.99,0.54,3.34,10.56,29.87,-7.43,43.74
1653402803762,-0.27,0.23,1.25,0.91,3.31,10.73,30.82,-25.6,43.28
1653402803767,0.04,0.2,1.47,1.34,3.19,10.81,32.18,-38.8,41.78
1653402803772,0.41,0.08,1.57,1.79,3,10.82,33.9,-49.89,39.15
1653402803777,0.8,-0.09,1.6,2.15,2.85,10.8,35.37,-56.75,36.74
1653402803782,1.19,-0.33,1.59,2.6,2.65,10.77,37.68,-64.8,32.15
1653402803787,1.5,-0.53,1.57,2.89,2.58,10.63,39.11,-68.27,28.48
1653402803791,1.74,-0.64,1.48,3.12,2.53,10.44,40.44,-68.65,24.56
1653402803796,1.93,-0.72,1.31,3.28,2.53,10.28,41.04,-66.8,20.99
1653402803801,2.04,-0.77,1.16,3.36,2.5,10.09,41.46,-63.05,17.98
1653402803806,2.08,-0.82,0.98,3.43,2.5,9.81,41.32,-57.56,15.39
1653402803811,2.09,-0.84,0.75,3.43,2.47,9.54,40.72,-52.59,13.29
1653402803815,2.06,-0.89,0.43,3.45,2.38,9.02,38.8,-42.16,9.37
1653402803820,2.05,-0.98,0.05,3.4,2.29,8.56,36.52,-32.18,6.64
1653402803825,1.97,-1.08,-0.4,3.25,2.26,8.13,33.51,-21.43,3.91
1653402803830,1.83,-1.15,-0.82,3.05,2.27,7.76,30.19,-10.55,2.05
1653402803835,1.64,-1.17,-1.19,2.87,2.3,7.46,27.21,-2.53,0.79
1653402803840,1.4,-1.15,-1.57,2.61,2.37,7.02,22.42,10.24,-0.15
1653402803844,1.15,-1.09,-1.98,2.37,2.37,6.59,18.81,20.36,-0.4
1653402803849,0.91,-1.08,-2.4,2.09,2.37,6.1,15.38,29.39,-0.5
1653402803854,0.69,-1.08,-2.77,1.91,2.38,5.89,12.86,35.23,-0.47
1653402803859,0.5,-1.08,-3.07,1.73,2.39,5.66,9.68,41.78,-0.78
1653402803864,0.35,-1.06,-3.29,1.5,2.39,5.48,5.37,47.45,-0.89
1653402803868,0.2,-1.05,-3.42,1.4,2.4,5.42,3.38,48.88,-1.06
1653402803873,0.08,-1.04,-3.5,1.3,2.43,5.36,0.82,49.27,-1.38
1653402803877,0.01,-1.01,-3.55,1.18,2.48,5.32,-1.52,47.9,-1.8
1653402803882,-0.06,-0.96,-3.58,1.05,2.66,5.25,-2.61,46.33,-1.8
1653402803887,-0.13,-0.82,-3.6,0.98,2.79,5.23,-3.31,44.16,-1.94
