time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1653397204999,0,0,0,x
1653397205002,85.94,40.85,6.15,x
1653397205003,86.23,41.23,5.67,x
1653397205003,86.66,41.57,5,x
1653397205005,86.93,41.98,4.57,x
1653397205012,87.25,42.23,4.06,x
1653397205018,87.61,42.38,3.48,x
1653397205023,87.95,42.57,2.92,x
1653397205025,88.21,42.73,2.47,x
1653397205033,88.4,42.76,2.13,x
1653397205038,88.56,42.67,1.82,x
1653397205044,88.72,42.52,1.48,x
1653397205109,88.89,42.35,1.12,x
1653397205111,89.03,42.19,0.77,x
1653397205111,89.13,42.02,0.48,x
1653397205192,89.16,41.57,0.03,x
1653397205192,89.17,41.77,0.25,x
1653397205194,89.19,41.39,-0.17,x
1653397205194,89.2,41.2,-0.37,x
1653397205194,89.21,41.04,-0.55,x
1653397205196,89.21,40.88,-0.72,x
1653397205200,88.65,40.51,-0.35,x
1653397205200,88.82,40.61,-0.45,x
1653397205200,89.01,40.72,-0.59,x
1653397205202,88.49,40.4,-0.28,x
1653397205203,88.32,40.27,-0.17,x
1653397205203,88.13,40.16,-0.05,x
1653397205210,87.93,40.08,0.1,x
1653397205211,87.62,40.14,0.37,x
1653397205211,87.75,40.1,0.25,x
1653397205213,87.52,40.19,0.44,x
1653397205214,87.41,40.38,0.44,x
1653397205214,87.45,40.26,0.46,x
1653397205215,87.39,40.5,0.4,x
1653397205221,87.37,40.6,0.36,x
1653397205221,87.24,40.69,0.24,x
1653397205221,87.31,40.7,0.28,x
1653397205221,87.35,40.67,0.32,x
1653397205222,86.61,40.12,0.46,x
1653397205222,87,40.51,0.27,x
1653397205222,85.8,39.15,1.01,x
1653397205222,87.14,40.63,0.24,x
1653397205222,86.09,39.52,0.8,x
1653397205222,86.36,39.85,0.62,x
1653397205222,85.15,38.32,1.52,x
1653397205222,85.48,38.75,1.25,x
1653397205222,86.82,40.35,0.34,x
1653397205223,84.83,37.87,1.81,x
1653397205224,84.53,37.4,2.1,x
1653397205226,84.25,36.89,2.37,x
1653397205227,84,36.36,2.63,x
1653397205234,83.78,35.8,2.87,x
1653397205236,83.57,35.23,3.09,x
1653397205243,83.36,34.66,3.31,x
1653397205247,83.16,34.08,3.52,x
1653397205251,82.97,33.51,3.71,x
1653397205257,82.78,32.94,3.9,x
1653397205262,82.59,32.36,4.07,x
1653397205266,82.39,31.78,4.24,x
1653397205272,82.18,31.21,4.4,x
1653397205280,81.97,30.66,4.57,x
1653397205283,81.75,30.12,4.74,x
1653397205285,81.53,29.6,4.92,x
1653397205291,81.31,29.1,5.11,x
1653397205296,81.09,28.62,5.31,x
1653397205299,80.88,28.15,5.51,x
1653397205309,80.67,27.7,5.73,x
1653397205310,80.46,27.28,5.95,x
1653397205320,80.26,26.88,6.19,x
1653397205324,80.06,26.5,6.42,x
1653397205327,79.86,26.15,6.66,x
1653397205330,79.67,25.82,6.89,x
1653397205333,79.49,25.52,7.13,x
1653397205338,79.3,25.24,7.36,x
1653397205343,79.12,24.99,7.6,x
1653397205350,78.96,24.75,7.82,x
1653397205352,78.81,24.53,8.04,x
1653397205359,78.66,24.33,8.24,x
1653397205361,78.54,24.16,8.44,x
1653397205367,78.42,24,8.62,x
1653397205370,78.32,23.87,8.79,x
1653397205379,78.24,23.76,8.93,x
1653397205381,78.15,23.66,9.06,x
1653397205385,78.07,23.59,9.18,x
1653397205391,77.99,23.54,9.31,x
1653397205396,77.91,23.5,9.45,x
1653397205400,77.82,23.49,9.59,x
1653397205405,77.75,23.48,9.75,x
1653397205410,77.67,23.5,9.91,x
1653397205416,77.61,23.54,10.09,x
1653397205421,77.56,23.61,10.28,x
1653397205427,77.53,23.7,10.48,x
1653397205431,77.51,23.81,10.68,x
1653397205438,77.52,23.94,10.88,x
1653397205439,77.54,24.1,11.08,x
1653397205446,77.57,24.26,11.3,x
1653397205450,77.6,24.45,11.54,x
1653397205469,77.64,24.63,11.78,x
1653397205472,77.73,24.96,12.21,x
1653397205472,77.68,24.8,12,x
1653397205474,77.77,25.12,12.39,x
1653397205476,77.82,25.27,12.56,x
1653397205483,77.88,25.42,12.72,x
1653397205485,77.95,25.56,12.86,x
1653397205490,78.03,25.7,12.98,x
1653397205495,78.14,25.81,13.08,x
1653397205498,78.25,25.92,13.17,x
1653397205504,78.39,26,13.25,x
1653397205513,78.53,26.08,13.32,x
1653397205517,78.83,26.2,13.5,x
1653397205517,78.68,26.14,13.4,x
1653397205521,78.99,26.26,13.61,x
1653397205525,79.15,26.31,13.73,x
1653397205531,79.32,26.38,13.84,x
1653397205539,79.51,26.45,13.94,x
1653397205545,79.7,26.53,14.03,x
1653397205546,79.9,26.63,14.11,x
1653397205550,80.12,26.74,14.17,x
1653397205553,80.34,26.86,14.21,x
1653397205558,80.57,26.99,14.26,x
1653397205563,80.8,27.14,14.29,x
1653397205566,81.02,27.29,14.33,x
1653397205571,81.24,27.44,14.37,x
1653397205578,81.45,27.59,14.41,x
1653397205581,81.66,27.74,14.45,x
1653397205586,81.86,27.88,14.49,x
1653397205590,82.05,28.01,14.54,x
1653397205595,82.24,28.14,14.59,x
1653397205601,82.42,28.24,14.64,x
1653397205606,82.6,28.34,14.69,x
1653397205609,82.78,28.41,14.73,x
1653397205615,82.95,28.46,14.76,x
1653397205620,83.11,28.5,14.78,x
1653397205626,83.27,28.53,14.79,x
1653397205632,83.42,28.55,14.78,x
1653397205635,83.57,28.57,14.76,x
1653397205638,83.72,28.58,14.74,x
1653397205645,83.86,28.59,14.7,x
1653397205649,84.01,28.61,14.66,x
1653397205653,84.15,28.62,14.63,x
1653397205658,84.3,28.64,14.59,x
1653397205664,84.45,28.65,14.55,x
1653397205669,84.61,28.66,14.51,x
1653397205673,84.77,28.68,14.47,x
1653397205678,84.93,28.69,14.42,x
1653397205682,85.1,28.7,14.37,x
1653397205688,85.29,28.72,14.3,x
1653397205692,85.49,28.75,14.2,x
1653397205697,85.71,28.78,14.08,x
1653397205700,85.94,28.81,13.92,x
1653397205709,86.19,28.85,13.74,x
1653397205712,86.45,28.89,13.53,x
1653397205718,86.73,28.93,13.29,x
1653397205730,87.02,28.97,13.02,x
1653397205731,87.32,29,12.72,x
1653397205735,87.62,29.03,12.4,x
1653397205738,87.92,29.04,12.08,x
1653397205751,88.22,29.06,11.76,x
1653397205753,88.53,29.07,11.41,x
1653397205755,88.84,29.06,11.02,x
1653397205757,89.17,29.03,10.57,x
1653397205761,89.48,28.99,10.07,x
1653397205764,89.78,28.95,9.52,x
1653397205776,90.08,28.93,8.94,x
1653397205778,90.36,28.95,8.36,x
1653397205778,90.62,29.03,7.8,x
1653397205782,90.88,29.18,7.29,x
1653397205787,91.15,29.39,6.86,x
1653397205794,91.41,29.65,6.52,x
1653397205797,91.66,29.95,6.29,x
1653397205804,91.89,30.29,6.2,x
1653397205806,92.1,30.67,6.25,x
1653397205811,92.29,31.07,6.41,x
1653397205817,92.45,31.48,6.65,x
1653397205821,92.61,31.9,6.92,x
1653397205826,92.77,32.31,7.17,x
1653397205831,92.92,32.69,7.37,x
1653397205838,93.06,33.07,7.53,x
1653397205842,93.18,33.44,7.66,x
1653397205846,93.29,33.79,7.76,x
1653397205850,93.39,34.13,7.82,x
1653397205857,93.51,34.44,7.85,x
1653397205861,93.63,34.71,7.84,x
1653397205867,93.75,34.93,7.78,x
1653397205870,93.87,35.09,7.69,x
1653397205875,93.99,35.21,7.58,x
1653397205880,94.1,35.25,7.46,x
1653397205885,94.2,35.23,7.35,x
1653397205889,94.28,35.14,7.26,x
1653397205894,94.37,34.97,7.2,x
1653397205898,94.46,34.74,7.14,x
1653397205903,94.59,34.45,7.1,x
1653397205909,94.74,34.1,7.05,x
1653397205913,94.93,33.69,7,x
1653397205921,95.15,33.25,6.95,x
1653397205927,95.4,32.78,6.92,x
1653397205930,95.68,32.3,6.89,x
1653397205934,96,31.82,6.86,x
1653397205938,96.37,31.35,6.79,x
1653397205943,96.78,30.91,6.67,x
1653397205948,97.22,30.51,6.5,x
1653397205951,97.68,30.14,6.27,x
1653397205957,98.16,29.82,5.99,x
1653397205960,98.65,29.55,5.66,x
1653397205967,99.15,29.32,5.28,x
1653397205971,99.63,29.12,4.86,x
1653397205984,100.56,28.78,4.04,x
1653397205984,100.11,28.94,4.44,x
1653397205990,101,28.63,3.65,x
1653397206001,101.41,28.49,3.3,x
1653397206002,101.79,28.35,2.99,x
