time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1655202339132.5,0.2,0.1,0.6,0.4,4.2,9.4,-3.3,-5.3,6.4,
1655202339149.1,0.1,0.1,0,0.3,4.2,8.9,3.7,-0.5,3.6,x
1655202339165.8,-0.2,0.2,-0.3,0.1,4.3,8.6,4.5,-0.4,3.3,x
1655202339182.4,-0.3,0.1,-0.4,0,4.2,8.5,2.2,-3.1,4.9,x
1655202339199.1,0,-0.1,-0.2,0.1,4.1,8.6,-7,-9.7,9.7,x
1655202339215.8,0.2,-0.1,0.1,0.4,4.1,8.9,-7,-8.1,9.9,x
1655202339232.6,0.3,-0.2,0.1,0.5,4,9,-4.7,-4.9,8.8,x
1655202339249.1,0,-0.1,0.2,0.3,4,9.1,1,1.1,5.4,x
1655202339265.8,-0.3,0,-0.1,0,4.1,8.8,5.1,-2.5,1.2,x
1655202339283.1,-0.4,0.2,-0.3,-0.2,4.3,8.6,5,-7,-0.3,x
1655202339299.5,-1.3,1,0.1,-1.2,5.2,8.9,-0.4,-11.6,2.7,x
1655202339316.2,-0.4,0.3,-0.4,-0.5,4.6,8.4,-0.2,-9.2,11.6,x
1655202339332.7,-0.6,-0.5,0,-0.8,3.8,8.8,-14.9,0.4,21.8,x
1655202339349.5,0,0,0.3,-0.1,3.7,9.3,-18.5,1.4,19.3,x
1655202339366.2,0.2,-0.7,0.8,0,3.5,9.7,-15.2,0.3,15.4,x
1655202339382.8,0.3,0,0.9,0.1,3.9,9.8,-1.6,15.1,14.7,x
1655202339399.5,0.1,-0.1,0.1,0,3.7,9.2,6.9,20,12.1,x
1655202339417,0.1,0,-0.2,0.1,3.9,8.5,6.7,13.6,11.9,x
1655202339432.8,0.2,0.1,-0.5,0.1,4,8.5,-2.4,6.6,9.6,x
1655202339449.4,-0.2,0.1,-0.3,-0.3,4.1,8.7,-12.1,5.8,6.3,x
1655202339466.6,-0.4,0.1,-0.3,-0.5,4,8.7,-16,3.5,6.5,x
1655202339482.7,-0.4,0.1,-0.1,-0.6,4.1,8.9,-26.4,-9.9,8.3,x
1655202339499.4,0.2,-0.2,0.1,-0.1,3.8,9,-32.2,-15.7,11,x
1655202339516.6,0.4,0.2,-0.4,0.1,4.2,8.6,-32.7,-16.6,10.1,x
1655202339532.7,0.5,0,-0.4,0.4,4.1,8.5,-26.3,-19,7.1,x
1655202339549.4,0.5,0.1,-0.5,0.5,4.2,8.4,-22.5,-22.9,5.9,x
1655202339566,0.5,0.2,-0.6,0.6,4.4,8.3,-23.1,-22.3,5.4,x
1655202339582.7,0.1,-0.2,-0.6,0.3,4.1,8.2,-27,-20.9,6.2,x
1655202339599.4,-0.2,-0.3,-0.9,0.1,4,7.9,-30.4,-18,8.4,x
1655202339617,0.3,-0.2,0,0.6,4.1,8.8,-33.1,-18.1,9.2,x
1655202339633.2,-0.1,-0.1,0.4,0.2,4.1,9.2,-39.7,-7.7,9.1,x
1655202339649.3,0.1,0.3,0.8,0.4,4.5,9.7,-37.3,-3.5,20.1,x
1655202339666.6,-0.1,0,0.3,0.5,3.8,8.6,-34.4,-3.5,26,x
1655202339682.6,-1.2,-0.4,-0.1,-0.9,3.7,8.8,-36.4,-20.3,33.3,x
1655202339699.4,-0.1,-0.8,0.2,0.4,3.2,9.2,-36.3,-12.1,30.2,x
1655202339716.9,1.2,-0.3,0.7,1.7,3.6,9.7,-33.2,4.6,30.4,x
1655202339732.7,0,0.1,1,0.7,3.8,10,-16.8,42.3,18.4,x
1655202339749.3,0.1,0.2,0.7,0.7,3.8,9.7,1.4,78.2,14.9,x
1655202339765.8,0.1,0.1,0.5,0.8,3.8,9.6,8.5,99.4,13.7,x
1655202339782.6,0.2,0.3,-0.4,0.8,3.9,8.7,15.1,149.6,8.2,x
1655202339799.4,-1.2,0,-2.1,-0.6,3.8,7,11.8,119.7,5.5,x
1655202339817,-1.1,-0.3,-2.1,-0.7,3.6,6.8,9.9,72.2,5.4,x
1655202339832.7,-0.7,0,-1,-0.5,4.1,7.9,-5.9,-9.3,3.6,x
1655202339850,0.1,-0.3,0.1,0,3.8,9,-20.2,-61.1,-5.5,x
1655202339866.6,0.4,-0.6,0.5,0.4,3.5,9.3,-19.9,-86,-10.6,x
1655202339882.7,0.2,-0.4,0.8,0.3,3.5,9.8,-19.8,-65.3,-14,x
1655202339899.9,-0.1,-0.1,1.8,0.1,3.6,10.8,-12.7,-29.4,-8.9,x
1655202339915.9,-0.1,0.2,1.9,0,3.7,11,-4.4,-18.5,-6.1,x
1655202339932.6,-0.2,0.4,1.9,-0.1,3.9,11.1,15.9,-11.2,-1.4,x
1655202339949.2,-0.4,-0.2,1.6,-0.2,3.3,10.7,31.8,-17.9,12.2,x
1655202339965.8,-0.9,-0.1,2.1,-0.7,3.6,11.2,33.9,-2.5,28.5,x
1655202339982.5,0,-0.7,1.7,0.2,3.1,10.7,41,21.3,36.2,x
1655202339999.1,1.1,-1.9,1.2,1.4,2,10.2,36.7,-19.8,39,x
1655202340015.8,0.7,-1.6,1,1.1,2.3,9.9,19.1,-53.5,-0.5,x
1655202340032.5,0.9,-1.3,1.7,1.4,2.7,10.6,16.4,-62.5,-18.9,x
1655202340049.1,-0.3,-1.7,2.3,0.3,2.3,11.2,9.8,-47.3,-35.9,x
1655202340065.8,-0.2,-2.1,2.4,0.5,2,11.3,8.6,-42.3,-30.8,x
