time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1664285093400.8,-0.7,-3,0.2,-0.1,3.6,7.5,11,3.4,8.6,
1664285093417.1,-0.5,-2.7,-0.2,0,3.5,7.4,10.8,0.2,8.6,x
1664285093433.8,-0.3,-2.3,-0.9,0.1,3.5,6.9,13.4,-0.9,7.9,x
1664285093450.4,-0.1,-2,-1.9,0.2,3.5,6.2,17.5,3.7,6.4,x
1664285093467.1,-0.1,-1.9,-2.2,0.1,3.6,5.8,16.4,6.6,3.6,x
1664285093485.6,-0.4,-1.7,-2.7,-0.1,3.6,5.5,13.8,4,-0.8,x
1664285093500.8,-0.3,-1.7,-3.2,-0.2,3.7,5,10,-11.7,-2.7,x
1664285093517.1,-0.1,-1.6,-3,0,3.9,5.1,7.7,-18.3,-3,x
1664285093533.9,0.6,-0.9,-2.4,0.7,4.7,5.6,10.1,-20.3,-2.9,x
1664285093550.5,0.2,-0.7,-2.1,0.7,5.1,5.8,18.9,0.1,-7.8,x
1664285093567.1,-0.2,-0.8,-1.9,0,5.4,6.1,22.9,20.1,-11.9,x
1664285093583.9,-0.9,-0.3,-1,-0.5,5.9,6.6,20,40.5,-13,x
1664285093600.7,-1,0.3,-0.3,-1,6.6,7.3,17.8,24.2,-12.1,x
1664285093617.1,-1.1,0.2,0.3,-1.3,6.5,8.1,17.1,3.2,-12.7,x
1664285093634.1,-0.8,0.2,0.7,-1.3,6.5,8.2,16.9,-27.6,-14.7,x
1664285093650.5,-0.4,0.5,0.9,-1.2,6.7,8.4,15,-30.6,-10.2,x
1664285093675.7,0.3,0.4,1.4,-0.5,6.5,9,4.3,-12.5,-1,x
1664285093683.6,0.5,0.4,2.1,-0.2,6.4,9.8,-5,-2.1,1,x
1664285093700.5,1,1,3.3,0.5,6.8,11.1,-13.1,-11.4,-3.3,x
1664285093717,1,1,3.6,0.3,5.9,11.9,-12.4,-22.7,-7.5,x
1664285093734,-0.3,-0.4,3.9,-0.5,5,12.1,-13.5,-21.9,-14.1,x
1664285093750.8,-0.9,-0.7,4.3,-1.1,4,12.8,-23.7,-0.7,-12.9,x
1664285093767.1,-0.5,-0.6,4.5,-0.4,3.8,13.3,-22.6,-5.5,-11.2,x
1664285093785.5,0.6,0.1,3.8,0.2,4,12.8,-2,-21.3,-10.8,x
1664285093800.5,0.9,0.7,2,0.7,4.4,11.1,16,-0.4,-13.5,x
1664285093817.1,-0.1,0.6,0.9,-0.1,4.3,10,11.1,32.1,-11.8,x
1664285093834.6,-0.5,0.4,0.7,-0.5,4.1,9.8,4.4,37,-8.3,x
1664285093850.7,-0.5,-0.1,0.6,-0.7,3.6,9.7,-17.5,25.1,6,x
1664285093867.1,-0.3,-0.3,0.5,-0.5,3.4,9.6,-25.6,18,10.8,x
1664285093885.7,0.1,-0.7,0.6,-0.1,2.8,9.8,-36.6,5.9,17.1,x
1664285093900.6,0.5,-0.9,1.1,0.3,2.4,10.3,-36.1,3.1,19,x
1664285093917.3,0.6,-0.8,1,0.6,2.2,10,-28.9,5.4,18.3,x
1664285093933.6,0.6,-0.6,0.1,0.6,2.2,9.5,-6.3,13.1,15.1,x
1664285093950.5,0.3,-0.3,-1.6,0.5,2.3,7.9,13.1,16.6,9.8,x
1664285093967,0.3,-0.3,-2.2,0.5,2.4,7.2,15.7,14.1,8.8,x
1664285093983.9,0.2,-0.3,-3,0.6,2.6,6.3,16,7,8.2,x
1664285094000.6,0.2,-0.3,-3.6,0.6,2.8,5.7,13.8,1.6,6.8,x
1664285094017.3,0,-0.3,-3.6,0.6,2.9,5.6,10.7,0.5,6.2,x
1664285094034,-0.1,-0.4,-3.3,0.5,3,5.8,4.5,-2,6.4,x
1664285094050.5,-0.1,-0.2,-3,0.5,3.2,6.1,6,-3,6.7,x
1664285094067.1,-0.1,0,-3,0.5,3.4,6.2,8.1,-2.7,6.2,x
1664285094085.1,-0.3,0.5,-2.8,0.3,4,6.3,11,-1.7,5.3,x
1664285094100.7,-0.3,1.3,-2.6,0.4,4.8,6.6,12.2,-5.8,6,x
1664285094117,-0.3,1.5,-2.6,0.3,5,6.6,12.8,-6.5,7.2,x
1664285094134.7,-0.2,1.6,-2.4,0.4,5.2,6.7,10,-4.4,12.3,x
1664285094150.7,-0.2,1.6,-1.7,0.5,5.1,7.4,4.2,-2.1,13.4,x
