time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1666170583740.5,-0.1,-0.3,0.3,-1.2,7.3,5.7,-11,-30.6,-23,
1666170583757.2,0.1,-0.2,-0.1,-1.1,7.4,5.5,-10,-36,-19.4,x
1666170583773.9,0.2,-0.1,-0.3,-0.8,7.4,5.2,-12.3,-42.4,-19.6,x
1666170583790.5,0.3,-0.1,-0.5,-0.7,7.4,5,-17.2,-44.6,-21.3,x
1666170583807.1,0.2,-0.2,-0.3,-0.7,7.2,5.2,-21.9,-42.4,-21.3,x
1666170583823.9,0.1,-0.2,0,-0.8,7.2,5.7,-23.5,-39.2,-19.1,x
1666170583840.5,0.1,-0.1,0.5,-0.8,7.2,6.2,-20.5,-37.7,-17.6,x
1666170583857.2,0,0,0.3,-0.6,7.1,6.2,-16.2,-39.7,-18.4,x
1666170583873.8,-0.2,0.7,0.1,-0.9,7.9,6.1,-11.9,-30.5,-19.2,x
1666170583890.5,0.2,0.6,0.7,-0.2,7.3,6.6,-11.9,-30.5,-19.2,x
1666170583907.4,0.7,-0.1,0.7,-0.2,7.1,6.7,-10.9,-40.1,-23.6,x
1666170583923.9,0.3,0,0.9,-0.4,7.2,7,-6.2,-36.2,-29.7,x
1666170583940.6,0.2,0,1.1,-0.5,7.3,7.2,-6.2,-36.2,-29.7,x
1666170583957.2,0.1,0.3,1.1,-0.7,7.5,7.3,-5.1,-31.3,-30,x
1666170583973.9,-0.1,0.3,1.2,-0.9,7.4,7.5,-5.3,-12.8,-29.3,x
1666170583990.6,-0.3,0.2,1.2,-1,7.2,7.4,-5.3,-12.8,-29.3,x
1666170584007.3,0,-0.2,1.1,-0.5,6.9,7.5,-6.7,-3.9,-25.5,x
1666170584028.3,0,-0.2,1.1,-0.5,6.9,7.5,-6.7,-3.9,-25.5,x
1666170584040.5,1,-0.6,1.2,0.3,6.2,8.2,-30.4,-35.6,-25.8,x
1666170584057.2,0.5,-1.4,2.8,0,5.5,9.4,-51.9,-49.9,-32.4,x
1666170584073.8,0.3,-1.8,3.2,-0.4,4.8,10.3,-41.3,-45.4,-29.9,x
1666170584090.6,0,-2,3.2,-0.9,4.1,9.9,-41.3,-45.4,-29.9,x
1666170584107.2,-0.7,-2.4,2.1,-1.4,4.1,9.1,-26.9,-33.4,-24.8,x
1666170584123.9,-1.1,-1.9,1.1,-1.7,4.4,8.4,-12.4,-2.5,-2.1,x
1666170584140.5,-1,-1.6,0.4,-1.6,4.6,7.8,-10,-0.3,7.8,x
1666170584157.2,-0.8,-1.3,0.1,-1.3,4.9,7.4,-10,-0.3,7.8,x
1666170584173.8,-0.3,-1,-0.2,-0.8,5.2,7.4,-16.8,-17.1,21.7,x
1666170584190.5,0.6,-0.4,0.6,0.1,5.6,8.2,-20.3,-31.1,23.4,x
1666170584207.2,1,-0.2,1.2,0.9,5.8,9.1,-20.3,-31.1,23.4,x
1666170584223.9,1.4,-0.1,1.9,1.2,5.9,9.6,-14.1,-55.2,7.6,x
1666170584240.5,1.4,0,1.8,1.4,5.9,9.6,-14,-50.9,-2.8,x
1666170584257.2,1.3,-0.1,1.5,1.5,5.8,9.5,-17.6,-38.8,-14,x
1666170584273.8,1.1,-0.2,1.2,1.1,5.6,9.1,-23.8,-25.2,-25.1,x
1666170584290.5,0.2,-0.3,0.8,0.4,5.4,8.8,-29.8,-14.1,-30.9,x
1666170584307.2,-0.4,-0.6,0.6,-0.1,5.1,8.7,-30.5,-7.4,-31.9,x
1666170584323.9,-0.5,-0.7,0.4,-0.5,4.9,8.5,-24.4,-5.9,-31,x
1666170584340.6,-1,-0.8,-0.2,-0.9,4.7,8,-16.9,-8.8,-28.2,x
1666170584362.5,-1,-0.8,-0.2,-0.9,4.7,8,-16.9,-8.8,-28.2,x
1666170584373.8,-1.3,-0.7,-1.1,-1.3,4.7,7,-4.9,-16.4,-17.2,x
1666170584390.5,-1.2,-0.7,-1.3,-1.2,4.7,6.7,-4.9,-16.4,-17.2,x
1666170584407.2,-1.1,-0.6,-1.8,-1.1,4.7,6.3,0.4,-28.2,-9.9,x
1666170584427.4,-1.1,-0.6,-1.8,-1.1,4.7,6.3,0.4,-28.2,-9.9,x
1666170584440.5,-0.8,-0.5,-1.6,-0.7,4.9,6.5,-7.3,-39.7,-4.1,x
1666170584457.2,-0.7,-0.6,-1.3,-0.6,4.6,6.8,-5.6,-40.4,-2.4,x
1666170584474.1,-0.8,-0.9,-0.8,-0.5,4.3,7.2,3,-46.1,2,x
1666170584490.5,-0.4,-1.1,-0.6,0,4.2,7.4,14.5,-56.9,9,x
1666170584507.2,0.4,-1.3,-0.7,0.8,4,7.3,26.8,-68.6,14,x
1666170584523.8,0.6,-1.3,-1.2,1.3,4.1,6.6,29.6,-74.7,13.3,x
1666170584540.5,0.7,-1.1,-2.1,1.6,4.3,5.7,15.5,-69.5,9.1,x
1666170584557.2,0.6,-0.9,-2.3,1.8,4.6,5.4,-11.4,-49.8,4.3,x
1666170584573.9,1.2,-0.6,-2,2.5,4.7,5.8,-41.3,-26.5,-3.3,x
1666170584590.5,1.7,-0.6,-0.8,2.9,4.5,6.9,-66.5,-13.9,-13.5,x
1666170584607.3,1.4,-0.5,-0.2,2.4,4.6,8.1,-79,-5.8,-21.3,x
1666170584623.8,0.6,-0.1,1.5,1.8,4.8,9.6,-71.3,-6.4,-22.8,x
1666170584640.5,0.6,-0.3,2.1,1.8,4.4,10.2,-56.4,-21.2,-24.3,x
1666170584657.2,0.3,-0.4,1.8,1.6,4.2,9.7,-47.3,-43,-22.7,x
1666170584686.7,0.8,-0.3,0.9,2.7,4.3,9.4,-54.7,-68.1,-17.4,x
1666170584690.5,0.8,-0.3,0.9,2.7,4.3,9.4,-54.7,-68.1,-17.4,x
1666170584707.1,1.3,0.3,1.9,3.3,4.3,10.9,-91.8,-85.6,-13.5,x
1666170584723.8,1.6,0,3.9,3.8,3.8,12.6,-90.8,-72.9,-16.3,x
1666170584740.5,2.4,-0.2,4.9,4.5,3.5,13.5,-79.1,-48.2,-22.2,x
1666170584757.2,1.7,0.1,4.4,4.3,3.5,13.3,-68.4,-15.5,-28,x
1666170584773.8,1.2,0.4,4.3,3.4,3.8,13.2,-51.4,10.8,-25.1,x
1666170584790.5,1.2,0.4,3.8,3.4,3.7,12.9,-26.6,15.8,-20.5,x
1666170584807.2,2,0.1,2.2,4,3.5,11.7,-2.9,4.9,-19.6,x
1666170584823.8,2.2,0.2,1.1,4.5,3.6,10,8.6,-6.1,-24.2,x
1666170584840.5,2.4,0.4,-0.8,4.6,3.8,8.4,8.4,-12.9,-34.7,x
1666170584857.1,1.8,0.6,-2,4.3,4,7.3,-1,-19.2,-48.6,x
1666170584873.8,1.5,0.5,-2.3,3.7,4,6.6,-17.4,-25.9,-60.2,x
1666170584890.5,0.9,0.4,-2.4,3.3,3.8,6.6,-34.5,-27.4,-67,x
1666170584907.1,1,0.2,-1.3,3.3,3.6,7.4,-42.7,-25.5,-71.9,x
1666170584923.8,0.8,0,-0.9,3.1,3.3,8.1,-36,-22.2,-78.2,x
1666170584940.5,0,-0.2,-0.7,2.4,3.1,8.3,-21.1,-20.1,-81.6,x
1666170584957.2,-0.4,-0.2,-1,1.7,3,7.6,-6.1,-17,-78.9,x
1666170584973.8,-0.8,-0.4,-2.2,1.5,3,6.7,1.2,-17.1,-72.8,x
1666170584990.4,-0.8,-0.3,-2.5,1.6,3.2,6.1,1.2,-17.1,-72.8,x
1666170585007.2,0,-0.1,-2.9,2.1,3.3,5.9,0.8,-33.3,-61.8,x
1666170585023.8,0.3,0.1,-2.8,2.6,3.6,6,-5.5,-45.6,-62.1,x
1666170585040.5,0.4,0.4,-2.6,2.8,3.8,6.1,-17.5,-51.1,-63.8,x
1666170585057.2,0.4,0.7,-2.1,2.8,4.1,6.4,-35.8,-46.1,-65.2,x
1666170585073.8,0.3,0.8,-1.6,2.7,4.2,7.2,-54.1,-30.2,-63.1,x
1666170585090.4,0.5,1.2,0.1,2.9,4.4,8.7,-63.8,-8.4,-57.8,x
1666170585107,0.5,1.4,1,2.9,4.7,10.2,-57.6,12.6,-52.2,x
1666170585123.8,0.1,1.9,2.2,2.3,5.1,11.1,-38.3,19.3,-45.8,x
1666170585140.5,-0.8,2.4,2.3,1.4,5.5,11.2,-15.4,17.5,-34.7,x
1666170585157.3,-1.4,2.5,1.8,0.9,5.6,10.9,2.9,12.5,-19.3,x
