time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1664105998685.9,15,34.3,-0.8,
1664105998719.9,14.7,34.5,-0.5,x
1664105998736,14.3,34.6,0.1,x
1664105998752.6,14,34.6,0.6,x
1664105998769.2,13.4,34.5,1.6,x
1664105998785.8,12.9,34.5,2.5,x
1664105998802.7,12.7,34.6,2.8,x
1664105998819.2,12.6,34.7,3.1,x
1664105998835.9,12.7,34.9,2.9,x
1664105998852.6,12.8,34.9,2.7,x
1664105998869.2,13.3,35.1,1.9,x
1664105998885.9,13.9,35.6,1,x
1664105998902.5,14.1,35.8,0.5,x
1664105998919.3,14.6,36.2,-0.3,x
1664105998936.9,14.7,36.3,-0.6,x
1664105998971.9,14.7,36.8,-0.7,x
1664105998988.6,14.5,37.4,-0.7,x
1664105999004.5,14.5,37.6,-0.6,x
1664105999023.1,14.3,37.9,-0.4,x
1664105999040,14.2,37.9,-0.2,x
1664105999054.8,14.1,37.9,-0.1,x
1664105999071.3,14.1,38.5,-0.2,x
1664105999087.5,14.4,39.4,-0.6,x
1664105999104.7,14.5,39.7,-0.8,x
1664105999121.1,14.7,39.7,-0.9,x
1664105999137.9,14.6,39.2,-0.6,x
1664105999155.5,14.5,39,-0.4,x
1664105999187.1,14.8,39.1,-0.5,x
1664105999204.5,15,39.3,-0.8,x
1664105999220.7,15.4,39.6,-1.2,x
1664105999238.6,15.7,39.6,-1.4,x
1664105999255.7,15.8,39.7,-1.4,x
1664105999270.8,15.8,39.9,-1.4,x
1664105999288.2,16.1,40.5,-1.6,x
1664105999303.9,16.2,40.8,-1.6,x
1664105999320.5,16.5,41.2,-1.8,x
1664105999338.6,16.9,41.5,-2.2,x
1664105999357.2,17.3,41.8,-2.7,x
1664105999370.8,17.5,41.9,-3,x
1664105999387.7,18,42.2,-3.8,x
1664105999404,18.3,42.3,-4.3,x
1664105999420.5,18.7,42.6,-4.9,x
1664105999437.5,18.8,42.8,-5.1,x
1664105999453.8,18.6,42.9,-4.9,x
1664105999470.8,18,42.9,-4,x
1664105999487.3,17.2,42,-3,x
1664105999504.1,16.9,41.3,-2.7,x
1664105999520.7,16.4,39.5,-2.3,x
1664105999537.3,16.1,38.5,-2,x
1664105999554.5,15.7,36.4,-1.9,x
1664105999570.7,15.3,34.3,-1.3,x
1664105999587.2,14.2,31.5,0.8,x
1664105999604,13.5,29.8,2.3,x
1664105999620.6,12.3,26.5,5,x
1664105999637.2,11.9,24.5,6.1,x
1664105999654.1,11.9,24.1,6.1,x
1664105999671.1,12,23.7,6.1,x
1664105999687.2,12,23.6,6.4,x
1664105999704,12.1,23.7,6.4,x
1664105999720.7,12.3,23.7,6.4,x
1664105999737.3,12.6,23.6,6.5,x
1664105999754.9,12.9,23.3,6.6,x
1664105999770.7,13.3,23.1,6.7,x
1664105999787.1,13.8,22.9,6.6,x
1664105999804.8,14,22.8,6.5,x
1664105999820.5,14.4,22.8,6.3,x
1664105999837.3,14.7,22.7,6.2,x
1664105999855.2,14.9,22.7,6.2,x
1664105999908.9,15.4,22.4,7,x
1664105999925,15.6,22.4,7.1,x
1664105999936.7,15.8,22.5,7.3,x
1664105999953.8,15.9,22.6,7.4,x
