time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1658234562959.1,-0.3,0.1,-0.1,-0.1,4,8.8,2.8,10.3,-7.9,x
1658234562975.7,-0.1,0,-0.1,0,4,8.9,-1.6,8.7,-1.9,x
1658234562992.4,-0.1,0,0.1,0,4,9.1,-3.2,6.6,-1.1,x
1658234563009.1,0.1,-0.1,0.3,0.2,3.9,9.2,-0.8,-1.9,-0.2,x
1658234563025.7,0.2,0,0.1,0.3,3.9,9.1,2,-2.4,-1,x
1658234563042.4,0.1,0,0,0.2,3.9,9,2.1,0.9,-1.9,x
1658234563059,0,0.1,-0.1,0.2,4,8.9,0.2,9.8,-2,x
1658234563076.3,0,0,-0.2,0.2,4,8.8,-1,11.9,-1.6,x
1658234563092.4,0,0,-0.2,0.2,4,8.8,-2.3,13.3,-2,x
1658234563109,-0.2,0,0.1,0,4,9.1,-3.9,15.7,-4,x
1658234563126.4,-0.3,-0.1,0.2,-0.1,3.9,9.2,-2.3,12.7,-4.4,x
1658234563143.3,-0.2,-0.1,0.2,-0.1,3.9,9.2,1.1,5.1,-2.8,x
1658234563159.7,-0.1,0,0.1,-0.1,3.9,9.1,2.1,2.1,-2.8,x
1658234563176.5,0.1,0.1,0,0.1,4,9,3.6,1.8,-2.5,x
1658234563193.3,0.1,0.1,0,0.2,4,9,3.8,3.2,-3.1,x
1658234563209.9,-0.1,0,0,0,4,9,3.5,6.8,-5.8,x
1658234563226.6,-0.3,-0.1,-0.1,-0.3,3.9,8.9,3.4,7.1,-6.1,x
1658234563244.1,-0.1,0,0.2,-0.2,3.9,9.2,4.6,5.5,-3.4,x
1658234563259.9,-0.1,0,0.1,-0.1,3.9,9.1,7.7,6.4,0.5,x
1658234563276.3,0,0,-0.1,0,3.9,8.8,5.5,1.6,0.9,x
1658234563293.3,0.1,0.1,-0.2,0.1,4,8.7,2.5,-0.8,-0.7,x
1658234563309.7,0,0,0.1,0,4,9,-2.6,-3,-5.1,x
1658234563326.5,-0.1,0,0.1,-0.1,4,9.1,-2.1,0.5,-6.8,x
1658234563343.9,-0.2,0.1,0.2,-0.3,4,9.2,-0.8,3.2,-7.1,x
1658234563359.6,-0.2,0.1,0.2,-0.3,4,9.1,1.9,4.8,-5.7,x
1658234563376.3,-0.1,0.1,0,-0.3,4,9,2.3,3,-4.3,x
1658234563393.7,0,0.1,-0.1,-0.2,4,8.9,1.6,1.4,-4.6,x
1658234563409.8,0.1,0.1,-0.1,-0.1,4,8.9,-0.2,-1.5,-5.9,x
1658234563426.3,0.1,0.1,0,-0.1,4.1,9,-1.1,-2,-6.4,x
1658234563443.2,-0.1,0.1,0.2,-0.3,4.1,9.1,-2.1,-2.3,-6.5,x
1658234563459.8,-0.1,0,0.1,-0.3,4,9.1,-0.3,-0.8,-4.6,x
1658234563476.2,0,-0.1,0,-0.2,3.9,9,1.3,-2.3,-3.6,x
1658234563493,0.1,0,0,-0.2,4,8.9,0.9,-3.1,-3.9,x
1658234563509.8,0.1,0.1,0.1,-0.1,4.1,9.1,-1.2,-2.8,-4,x
1658234563526.5,0.1,0.1,0.2,-0.1,4.1,9.2,-1.5,-2.2,-4,x
1658234563544,-0.1,-0.1,0.3,-0.3,3.9,9.3,-0.7,-0.1,-3.5,x
1658234563559.9,-0.1,0,0.3,-0.3,3.9,9.3,1.8,-0.8,-2.9,x
1658234563576.2,-0.1,0.1,0.1,-0.3,4,9.1,3.7,-1.3,-2.6,x
1658234563592.9,-0.1,0.1,0,-0.3,4,9,3.8,-0.9,-2.2,x
1658234563609.5,0,0.1,-0.1,-0.3,4.1,8.9,2.3,-0.1,-1.4,x
1658234563625.8,0,0.1,-0.1,-0.3,4.1,8.9,1.1,-1.4,-1.2,x
1658234563643.6,0,0.1,0,-0.3,4.1,9,0.4,-1.5,-1,x
1658234563659.8,-0.1,0.1,0,-0.4,4.1,9,-0.8,-0.6,-0.2,x
1658234563676.5,0,0.1,0.1,-0.3,4.1,9.1,-1,-0.3,1.4,x
1658234563693.1,0,0.1,0.1,-0.3,4.1,9.1,-0.2,-0.4,1.8,x
1658234563709.8,0,0.1,0.1,-0.3,4.1,9,0.8,1.4,1.7,x
1658234563726.3,0.1,0.1,0.1,-0.3,4.1,9,0.5,1.9,1.5,x
1658234563743.6,0.1,0,0.2,-0.2,4.1,9.1,0.1,2.2,1.2,x
1658234563759.8,0.1,0,0.1,-0.2,4,9.1,0.6,3.1,0.3,x
