time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1658225969752.9,0,0,0.1,0,0,9.9,0,-0.1,0,
1658225969769.8,0,0,0.1,0,0.1,9.9,0,-0.1,0,x
1658225969786.3,0,0,0.1,0,0,9.9,-0.1,-0.1,0,x
1658225969802.9,0,0,0.1,0,0,9.9,0,0,0,x
1658225969819.5,0,0,0.1,0,0.1,9.9,-0.1,-0.1,0,x
1658225969836.1,0,0,0.1,0,0,9.9,0,0,0,x
1658225969852.9,0,0,0.1,0,0,9.9,-0.1,-0.1,0,x
1658225969869.6,0,0,0.1,0,0,9.9,0,0,0,x
1658225969887.6,0,0,0.1,0,0,9.9,-0.1,-0.1,0,x
1658225969905.1,0,0,0.1,0,0,9.9,0,-0.1,0,x
1658225969919.8,0,0,0,0,0.1,9.9,-0.1,-0.1,0,x
1658225969936.9,0,0,0,0,0,9.8,0,0,0,x
1658225969955.6,0,0,0.1,0,0,9.9,-0.1,0,0,x
1658225969970.3,0,0,0.1,0,0,9.9,0,-0.1,0,x
1658225969986.7,0,0,0.1,0,0.1,9.9,0,-0.1,0,x
1658225970004.8,0,0,0.1,0,0,9.9,0,-0.1,0.1,x
1658225970020.3,0,0,0.1,0,0,9.9,0,0,0,x
1658225970037.4,0,0,0,0,0,9.9,0,0,0,x
1658225970054.9,0,0,0.1,0,0,9.9,-0.1,0,0,x
1658225970070.6,0,0,0.1,0,0,9.9,0,-0.1,0,x
1658225970086.8,0,0,0.1,0,0,9.9,0,0,0,x
1658225970108.2,0,0,0.1,0,0,9.9,-0.1,-0.1,0,x
1658225970120.4,0,0,0.1,0,0,9.9,0,0,0,x
1658225970137.3,0,0,0.1,0,0,9.9,0,0,0,x
1658225970154.5,0,0,0,0,0,9.8,0,-0.1,0,x
1658225970170,0,0,0.1,0,0,9.9,0,-0.1,0,x
1658225970186.7,0,0,0.1,0,0,9.9,0,0,0,x
1658225970203.6,0,0,0.1,0,0.1,9.9,0,0,0,x
1658225970220.1,0,0,0.1,0,0,9.9,0,0,0,x
1658225970237.6,0,0,0.1,0,0,9.9,0,-0.1,0,x
1658225970253.6,0,0,0,0,0.1,9.8,0,0,0,x
1658225970270.3,0,0,0,0,0.1,9.8,0,-0.1,0,x
1658225970286.8,0,0,0,0,0,9.9,-0.1,0,0,x
1658225970303.6,0,0,0.1,0,0.1,9.9,-0.1,0,0,x
1658225970320.4,0,0,0.1,-0.1,0,9.9,0,0,0,x
1658225970337.5,0,0,0.1,0,0.1,9.9,0,-0.1,0,x
1658225970353.6,0,0,0.1,0,0,9.9,0,-0.1,0,x
1658225970370,0,0,0.1,0,0.1,9.9,-0.1,0,0,x
1658225970386.7,0,0,0.1,0,0,9.9,0,0,0,x
1658225970403.8,0,0,0.1,0,0,9.9,0,-0.1,0,x
1658225970419.9,0,0,0.1,0,0,9.9,0,-0.1,0,x
1658225970437.3,0,0,0.1,0,0.1,9.9,0,0,0,x
1658225970453.5,0,0,0,0,0,9.9,0,-0.1,0,x
1658225970470.1,0,0,0.1,0,0.1,9.9,0,0,0,x
1658225970486.8,0,0,0.1,0,0,9.9,0,0,0,x
1658225970503.6,0,0,0,0,0.1,9.9,0,0,0,x
1658225970526.2,0,0,0.1,0,0,9.9,0,-0.1,0,x
1658225970536.8,0,0,0,0,0,9.9,0,-0.1,0,x
1658225970553.7,0,0,0,0,0,9.8,-0.1,-0.1,0,x
1658225970570.3,0,0,0,0,0,9.8,0,0,0,x
1658225970586.9,0,0,0,0,0.1,9.9,0,0,0,x
1658225970603.8,0,0,0,0,0.1,9.9,-0.1,0,0,x
1658225970620.4,0,0,0,0,0,9.8,0,0,0,x
1658225970639.1,0,0,0,0,0,9.9,0,-0.1,0,x
1658225970653.2,0,0,0.1,0,0.1,9.9,0,0,0,x
1658225970669.9,0,0,0.1,0,0.1,9.9,-0.1,-0.1,0,x
1658225970709.8,0,0,0.1,0,0.1,9.9,-0.1,0,0,x
1658225970719.7,0,0,0.1,0,0.1,9.9,-0.1,0,0,x
1658225970736.8,0,0,0.1,0,0,9.9,0,0,0,x
1658225970753.2,0,0,0.1,0,0,9.9,-0.1,0,0,x
