time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1658226493013.7,0.2,0,0.2,-0.1,3.4,9.4,-5.7,-0.8,0.7,
1658226493030.4,0,0,0.3,-0.2,3.4,9.5,-3.7,0.3,-1.9,x
1658226493047.1,-0.1,0,0.3,-0.3,3.4,9.5,-1,0.9,-3,x
1658226493063.8,-0.1,0,0.2,-0.4,3.4,9.4,1.8,0.2,-1.8,x
1658226493080.4,0,0,0.1,-0.3,3.4,9.3,2.2,0.5,0.3,x
1658226493097.1,0,0,0,-0.2,3.4,9.2,1.8,0.6,0.6,x
1658226493114.9,0.1,0.1,-0.1,-0.1,3.4,9.1,0.2,0.3,-0.2,x
1658226493131.1,0.1,0.1,-0.1,-0.1,3.5,9.1,-0.8,0,-1.1,x
1658226493149.3,0,0.1,-0.1,-0.2,3.5,9.1,-2.6,-2.3,-3,x
1658226493165.1,-0.1,0.1,0,-0.3,3.5,9.2,-2.8,0,-2.3,x
1658226493181.6,-0.1,0.1,0.1,-0.3,3.6,9.3,-2.7,1.7,-1.1,x
1658226493198,-0.1,0,0.2,-0.3,3.5,9.4,-1.8,2.6,1.2,x
1658226493214.4,0,0,0.2,-0.3,3.4,9.4,-0.5,1,2.1,x
1658226493231.2,0.1,0,0.2,-0.2,3.4,9.4,0.7,0.2,1.3,x
1658226493248,0.1,0,0.2,-0.2,3.4,9.4,0.9,1.1,1,x
1658226493265.2,0,0,0.2,-0.2,3.4,9.4,0.6,1.1,1.4,x
1658226493281.3,0,0,0.2,-0.3,3.4,9.4,0.4,0.1,1.4,x
1658226493297.9,0.1,0,0.2,-0.1,3.4,9.4,0.5,-0.9,1.4,x
1658226493314.6,0.1,0.1,0.1,-0.1,3.4,9.3,1.6,-0.8,0.2,x
1658226493331.3,0,0,0.1,-0.2,3.4,9.3,2.2,-0.4,-0.2,x
1658226493347.8,-0.1,0,0.1,-0.3,3.3,9.3,1.5,1.3,0.3,x
1658226493364.9,0,0,-0.1,-0.3,3.3,9.1,1.3,-1.6,0,x
1658226493381.6,0,0,-0.1,-0.2,3.4,9.1,1.6,-3,-0.3,x
1658226493398,0,0.1,-0.2,-0.2,3.5,9,1.6,-1.4,-1,x
1658226493414.6,-0.1,0.1,-0.2,-0.4,3.5,9,0.9,1.9,-0.6,x
1658226493431.2,-0.2,0,-0.1,-0.4,3.5,9,0.3,2.6,0.2,x
1658226493447.9,-0.1,0.1,0,-0.4,3.5,9.1,-1.9,2.2,2,x
1658226493464.3,0,0.1,0.1,-0.3,3.6,9.3,-2.7,0.8,2.5,x
1658226493481.3,0.1,0.1,0.1,-0.3,3.6,9.3,-2.5,0.7,3,x
1658226493498.1,0.1,0,0.2,-0.2,3.5,9.4,-1.7,2,4.1,x
1658226493515.6,0.1,0,0.3,-0.2,3.4,9.5,-0.6,2.9,4.7,x
1658226493533.9,0.1,0,0.3,-0.1,3.4,9.5,-0.6,1.5,4.4,x
1658226493547.9,0.1,0,0.3,-0.1,3.4,9.5,-0.4,0.2,3.8,x
1658226493571.5,0.2,0,0.3,0,3.3,9.5,0.9,-1.7,2.6,x
1658226493581.3,0.1,0,0.1,-0.1,3.3,9.3,3.3,-2.1,1.2,x
