time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_testing
1658434037606,-0.06,-0.16,0.04,0.55,-3.99,-8.97,-10.55,5.93,-2.34,x
1658434037623,-0.08,-0.01,-0.09,0.56,-3.81,-9.11,-10.32,8.47,-2.08,x
1658434037639,-0.02,-0.03,-0.05,0.64,-3.81,-9.07,-9.4,7.98,-1.9,x
1658434037656,0.06,-0.04,-0.09,0.73,-3.8,-9.13,-7.44,6.15,-1.2,x
1658434037673,0.1,0.03,-0.02,0.79,-3.71,-9.06,-4.29,2.82,0.38,x
1658434037689,0.05,0.04,0.04,0.75,-3.69,-9,-1.39,1.78,0.45,x
1658434037706,-0.06,0,-0.01,0.64,-3.73,-9.05,1.62,1.41,-0.64,x
1658434037722,-0.08,-0.01,0.12,0.62,-3.76,-8.92,2.19,0.61,-1.59,x
1658434037740,-0.02,0.02,0.2,0.68,-3.72,-8.83,0.3,-0.36,-1.64,x
1658434037756,0.02,0.02,0.07,0.72,-3.72,-8.97,-0.14,0.83,-1.54,x
1658434037773,-0.05,0.02,-0.05,0.66,-3.72,-9.08,1.03,2.96,-1.64,x
1658434037789,-0.02,0.02,-0.05,0.71,-3.73,-9.09,2.61,5.19,-1.04,x
1658434037806,0,-0.02,0,0.74,-3.78,-9.03,3.21,5.47,-0.84,x
1658434037823,0.09,0.03,0.22,0.84,-3.74,-8.8,2.21,3.77,-0.14,x
1658434037840,0.06,0.04,0.13,0.82,-3.73,-8.89,1.49,3.13,-0.21,x
1658434037856,0.02,0.03,0.21,0.78,-3.74,-8.81,-0.75,1.78,-1.11,x
1658434037873,0.02,-0.01,0.23,0.79,-3.77,-8.8,-4.78,2.47,-1.62,x
1658434037890,0.04,-0.01,0.11,0.82,-3.75,-8.92,-5.35,4.68,-0.71,x
1658434037906,-0.06,0,-0.02,0.74,-3.73,-9.05,-4,5.32,-0.63,x
1658434037923,-0.07,-0.08,0.08,0.74,-3.81,-8.95,-0.65,1.93,-0.99,x
1658434037940,-0.06,-0.07,0.05,0.76,-3.8,-8.98,-0.37,-0.15,-1.11,x
1658434037955,-0.05,-0.06,0.18,0.76,-3.79,-8.85,-2.21,-0.8,-1.34,x
1658434037973,-0.08,-0.04,0.12,0.73,-3.75,-8.91,-4.82,-0.63,-1.97,x
1658434037990,-0.06,-0.05,0.09,0.76,-3.75,-8.96,-5.18,-0.05,-1.73,x
1658434038006,0.04,-0.03,-0.04,0.86,-3.72,-9.09,-4.94,1.26,-1.42,x
1658434038023,-0.14,-0.25,-0.04,0.69,-3.92,-9.09,-6.13,-1.61,-5.73,x
1658434038040,-0.44,-0.51,0.19,0.39,-4.16,-8.87,-7.28,-0.81,-5.78,x
1658434038056,0.06,0.04,-0.06,0.89,-3.6,-9.13,-7.14,-0.55,-3.99,x
1658434038073,0,-0.2,-0.02,0.82,-3.83,-9.1,-3.02,-1.93,-4.24,x
1658434038090,-0.13,-0.18,-0.26,0.69,-3.79,-9.33,-2.75,-3.9,-7.71,x
1658434038106,-0.26,-0.28,-0.03,0.56,-3.89,-9.12,-4.32,-1.92,-8.45,x
1658434038122,-0.3,-0.35,0.1,0.53,-3.93,-9,-6.99,-2.52,-10.34,x
1658434038140,-0.23,-0.27,-0.06,0.61,-3.84,-9.16,-6.1,1.03,-10.58,x
1658434038156,-0.23,-0.13,-0.15,0.62,-3.68,-9.25,-4.65,4.7,-10.7,x
1658434038173,-0.06,0.05,0.01,0.83,-3.49,-9.1,-2.62,6.78,-10.7,x
1658434038190,-0.05,0.06,-0.04,0.86,-3.47,-9.15,-2.11,10.42,-11.57,x
1658434038206,-0.01,0.13,-0.11,0.94,-3.39,-9.22,-2.86,13.57,-11.21,x
1658434038223,0.21,0.22,-0.05,1.22,-3.29,-9.15,-2.93,16.79,-9.49,x
1658434038240,0.18,0.22,0.09,1.24,-3.28,-9.01,-2.23,15.37,-9.18,x
1658434038256,0.26,0.12,0.06,1.36,-3.37,-9.04,-0.08,13.74,-8.12,x
1658434038273,0.06,0.14,-0.27,1.22,-3.35,-9.36,2.88,10.67,-6.59,x
1658434038289,0.14,0.11,-0.13,1.32,-3.39,-9.21,5.32,7.12,-4.24,x
1658434038306,0.32,0.31,0.16,1.52,-3.21,-8.91,5.91,2.81,-2.43,x
1658434038323,0.05,0.13,0.45,1.26,-3.4,-8.62,3.86,1.68,-4.03,x
1658434038339,-0.02,-0.04,0.35,1.2,-3.57,-8.71,-0.06,3.52,-5.12,x
1658434038356,-0.1,-0.11,0.1,1.14,-3.63,-8.96,-6.81,10.84,-6.97,x
1658434038373,-0.21,-0.26,0.25,1.07,-3.76,-8.82,-13.41,10.53,-7.47,x
1658434038390,-0.11,-0.52,0.51,1.2,-3.97,-8.57,-18.14,9.36,-10.67,x
1658434038406,-0.33,-0.35,0.24,1.04,-3.73,-8.86,-23.65,23.72,-9.89,x
1658434038423,-0.25,-0.15,-0.22,1.21,-3.46,-9.34,-28.09,37.91,-12.2,x
1658434038440,-0.48,-0.06,-0.32,1.1,-3.3,-9.44,-33.15,57.67,-12.78,x
1658434038456,-0.49,-0.1,-0.18,1.26,-3.24,-9.3,-39.49,76.42,-16.16,x
1658434038473,-0.61,-0.33,-0.28,1.46,-3.32,-9.39,-53.64,109.75,-21.85,x
