time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1652785765658.6,85.6,29.1,8.9,
1652785765692.5,85.5,30.2,7.8,x
1652785765708.7,86.2,30.6,5.5,x
1652785765726.2,86.6,30.6,4.3,x
1652785765742.7,87.2,31,2.8,x
1652785765759.4,87.4,31.4,2.2,x
1652785765775.5,87.5,31.3,1.8,x
1652785765793.8,86.4,31,1.7,x
1652785765809.8,85.9,31.3,2.1,x
1652785765825.4,85,31.7,2.9,x
1652785765843.3,84.8,31.8,3.3,x
1652785765859.4,84.7,31.9,4.2,x
1652785765876.1,85,31.9,4.8,x
1652785765892.1,85.6,31.8,4.7,x
1652785765910.3,85.9,31.6,4,x
1652785765926.4,85.9,31.5,3.7,x
1652785765942.8,85.8,31.5,3.4,x
1652785765959.4,85.7,31.5,3.4,x
1652785765976.5,85.8,31.3,3.4,x
1652785765992.5,86,31,3.5,x
1652785766009.5,86.4,30.9,3.3,x
1652785766027.1,86.6,31.1,2.9,x
1652785766043.3,86.6,31.3,2.6,x
1652785766059.7,86.4,31.8,2.4,x
1652785766076.4,86.1,32.3,2.5,x
1652785766093.8,86,32.4,2.8,x
1652785766110,86,32.5,3,x
1652785766175.4,85.6,32.4,2.4,x
1652785766192,85.4,32.5,2.3,x
1652785766209.5,84.8,32.6,2.2,x
1652785766226.1,84.4,32.7,2,x
1652785766242.3,84.4,32.6,1.3,x
1652785766259,84.5,32.5,0.6,x
1652785766275.7,84.7,31.8,-1.2,x
1652785766292.4,84.8,30.9,-2.6,x
1652785766308.7,84.6,29.9,-3,x
1652785766326.5,84.5,29.4,-2.9,x
1652785766342.7,84.3,28.9,-2.1,x
1652785766358.7,84.5,28.9,-1.6,x
1652785766376.8,85,29.4,-1.4,x
1652785766392.5,85.3,29.7,-1.4,x
1652785766408.7,85.9,30.3,-1.5,x
1652785766426.1,86.4,30.7,-1.5,x
1652785766443.2,86.7,30.7,-1.5,x
1652785766458.7,87.3,30.7,-1.3,x
1652785766475.4,87.7,30.6,-1.1,x
1652785766493.5,88.1,30.6,-1,x
1652785766508.6,88.2,30.6,-0.8,x
1652785766525.4,88.5,30.6,-0.5,x
1652785766543.4,88.8,30.6,-0.2,x
1652785766559.3,88.9,30.6,-0.1,x
1652785766576,89.2,30.7,0.1,x
1652785766592.7,89.5,30.7,0.2,x
1652785766609.9,89.7,30.7,0.2,x
1652785766626,90,30.7,0.2,x
1652785766642,90.2,30.5,0.4,x
1652785766659.4,90.3,30.3,0.6,x
1652785766676.5,90.6,30,0.8,x
1652785766692.5,90.8,29.9,1.2,x
1652785766709.8,91.1,29.9,1.8,x
1652785766726.5,91.2,30,2.1,x
1652785766742.7,91.4,30.3,3,x
1652785766758.7,91.8,30.5,3.8,x
1652785766777.1,92.3,30.6,4.6,x
1652785766792.5,92.6,30.7,5,x
1652785766809.3,92.9,31,6.1,x
1652785766825.4,92.9,31.3,7,x
1652785766843,93.2,32,8.5,x
1652785766859.4,93.9,32.4,9.1,x
1652785766875.6,94.7,32,8.9,x
1652785766892,95.3,31,8.8,x
1652785766909.7,95.5,30.4,9.1,x
1652785766925.3,95.8,29.8,10,x
1652785766942,96.2,30.1,11.2,x
1652785766960,96.4,30.5,11.5,x
1652785766976,96.9,31.5,11.6,x
1652785766991.9,97.3,32.2,11,x
1652785767009.5,97.5,32.5,10.3,x
1652785767026.5,97.6,32.5,10,x
1652785767042.7,97.9,32.3,9.3,x
1652785767058.7,98.1,32.1,8.9,x
1652785767092.6,98.4,32.3,9,x
1652785767109,98.4,32.8,9.3,x
1652785767125.2,98.5,33.2,9.4,x
1652785767142.8,98.5,34.1,9.4,x
1652785767158.9,98.7,35,9,x
1652785767175.6,98.9,35.7,8.4,x
1652785767191.9,99.2,36.2,7.6,x
1652785767209.1,99.2,36.2,7.3,x
1652785767225.6,99.2,36.3,6.8,x
1652785767242,99.1,36.2,6.6,x
1652785767259.5,99,36.2,6.6,x
1652785767275.3,98.8,35.9,6.4,x
1652785767292,98.4,35.6,6,x
1652785767309.2,97.8,35.3,5.6,x
1652785767326.1,97.4,35.2,5.4,x
1652785767342.3,96.5,35,5.2,x
1652785767358.6,95.3,34.8,5.5,x
1652785767375.8,94.6,34.8,5.8,x
1652785767392.2,92.9,35.1,6.7,x
1652785767413.3,91.6,35.5,7.4,x
1652785767425.3,91.1,35.8,6.6,x
1652785767442.5,91,35.7,5.7,x
1652785767458.9,90.4,35.2,3.8,x
1652785767475.3,89.7,34.8,3.1,x
1652785767492.6,87.5,34.1,2.5,x
1652785767508.9,84.6,33.6,3.2,x
1652785767525.3,81.9,33.5,4.5,x
1652785767542,80.7,33.4,5.1,x
1652785767558.6,78.7,33.3,6.1,x
1652785767575.2,77.2,33.1,6.5,x
1652785767591.9,75.9,32.8,6.3,x
1652785767609.3,75.4,32.6,6.1,x
1652785767626.1,74.6,32.2,5.4,x
1652785767641.9,74.1,32.2,4.4,x
1652785767658.6,73.8,32.4,3.2,x
1652785767676,73.5,32.6,2.6,x
1652785767691.9,72.9,33.1,1.4,x
1652785767708.6,71.9,33.7,0.6,x
1652785767725.8,70.9,34.3,0.2,x
1652785767742.2,70.4,34.5,0,x
1652785767759,69.6,34.6,-0.5,x
1652785767775.2,68.8,34.5,-0.7,x
1652785767792.5,68.5,34.3,-0.8,x
1652785767808.9,67.6,33.9,-0.6,x
1652785767825.2,66.6,33.2,0.2,x
1652785767842.3,66.1,32.9,0.7,x
1652785767858.6,65.1,32.3,2,x
1652785767875.3,64.4,31.8,3.1,x
1652785767892.4,64,31.6,3.9,x
1652785767908.9,64,31.6,4.2,x
1652785767925.5,64,31.8,4.8,x
1652785767942,64,32.2,5.5,x
1652785767959.2,63.9,32.5,6,x
1652785767975.6,63.9,33,6.9,x
1652785767991.9,64.1,33.2,7,x
1652785768008.6,64.1,32.5,6.5,x
1652785768026.1,63.9,31.8,6.4,x
1652785768042.2,63,30.5,6.7,x
1652785768062,62.1,29.6,7.9,x
1652785768075.4,61.7,29.5,8.7,x
1652785768092.3,61.2,29.8,9.9,x
1652785768108.6,61,30.3,10.4,x
1652785768125.2,61,30.7,10,x
1652785768142.7,61.1,30.8,9.6,x
1652785768158.9,61.4,30.8,8.5,x
1652785768175.3,61.8,31,7.5,x
1652785768193,62.2,31.3,6.8,x
1652785768208.9,62.3,31.6,6.6,x
1652785768226.1,62.6,32.1,6.3,x
1652785768241.9,62.8,32.6,6.2,x
1652785768259.4,63,32.8,6,x
1652785768275.6,63.4,33.4,5.7,x
1652785768291.9,64.1,34,5,x
1652785768309.4,64.5,34.3,4.6,x
1652785768325.5,65.4,35,3.8,x
1652785768342.3,66.1,35.6,3.2,x
1652785768358.6,66.6,35.9,2.7,x
1652785768376,66.7,35.8,2.5,x
1652785768391.9,66.9,35.3,2.1,x
1652785768408.5,67.1,34.3,2,x
1652785768425.8,67.1,33.8,2,x
1652785768442.7,67.3,32.8,1.9,x
1652785768458.6,67.4,32.3,1.7,x
1652785768475.3,67.2,32.2,1.8,x
1652785768492.2,66.8,32.2,2,x
1652785768508.9,66,32.5,2.4,x
1652785768527.3,65.1,32.5,2.5,x
1652785768542.7,64.9,32.3,2.1,x
1652785768558.9,65,31.1,0.5,x
1652785768575.6,64.8,29.2,-1.4,x
1652785768591.9,63.7,27.5,-2.4,x
1652785768609.4,62.7,27.1,-2.1,x
1652785768625.6,60.3,27,-0.4,x
1652785768641.8,57.7,27.6,2.1,x
1652785768659.1,55.4,28.3,4.3,x
1652785768675.6,54.5,28.5,5.2,x
1652785768696.4,53.5,28.6,6.2,x
1652785768708.5,53.2,28.5,6.4,x
1652785768726.1,53.3,28.5,6.1,x
1652785768741.9,53.4,28.6,5.7,x
1652785768758.6,53.5,28.9,5.1,x
1652785768775.8,53.3,29.4,4.6,x
1652785768792.2,53.2,29.7,4.5,x
1652785768808.9,52.9,30.2,4.5,x
1652785768825.3,52.6,30.4,4.7,x
1652785768842.9,52.5,30.4,4.8,x
1652785768858.9,52.2,30.3,5,x
1652785768875.2,52,29.8,5.1,x
1652785768892.7,52,29.6,4.9,x
1652785768908.9,52,29.1,4.5,x
1652785768925.6,52.2,28.8,3.8,x
1652785768941.9,52.1,29,3.3,x
1652785768959.4,51.9,29.3,3.3,x
1652785768975.2,51.6,30.1,3.3,x
1652785768991.9,51.1,30.7,3.5,x
1652785769009.4,50.8,30.9,3.6,x
1652785769025.5,50.1,30.9,4,x
1652785769042.2,49.3,30.8,4.6,x
1652785769058.5,48.6,30.8,5.5,x
1652785769076.3,48.3,31.1,5.9,x
1652785769092.2,47.9,32,6.3,x
1652785769108.5,47.8,32.8,5.3,x
1652785769125.5,47.8,33,3.5,x
1652785769142.7,47.7,32.8,2.8,x
1652785769158.9,47.5,32.4,2.6,x
1652785769175.2,47.6,32.5,3.5,x
1652785769192.6,47.7,32.7,4,x
1652785769208.5,47.9,33.3,4.6,x
1652785769225.2,48,33.7,4.3,x
1652785769242,48.1,33.7,4,x
1652785769258.9,48.2,33.4,3.4,x
1652785769275.5,48.6,32.9,3,x
1652785769291.8,49.2,32.4,2.7,x
1652785769309.3,49.5,32.3,2.6,x
1652785769325.6,50,32.2,2.3,x
1652785769341.9,50.5,32.3,2,x
1652785769358.9,51.1,32.6,1.5,x
1652785769375.5,51.5,32.9,1.1,x
1652785769392.4,52.3,33.6,0.2,x
1652785769408.6,53.4,34.6,-1.2,x
1652785769426,54,35.2,-2,x
1652785769441.9,55.2,36.6,-3.5,x
1652785769458.9,56.2,38.2,-4.7,x
1652785769475.5,57,39.7,-5.6,x
1652785769492.1,57.4,40.3,-6,x
1652785769508.8,57.9,41,-6.5,x
1652785769525.2,58.1,41.1,-6.6,x
1652785769542.6,58,41,-6.4,x
1652785769558.9,57.6,40.4,-5.6,x
1652785769575.6,56.7,39.5,-4.6,x
1652785769592.5,55.6,38.6,-3.3,x
1652785769609.4,55,38.1,-2.7,x
1652785769625.5,53.9,37.4,-1.4,x
1652785769641.8,53.1,36.7,-0.4,x
1652785769659.3,52.9,36.4,-0.3,x
1652785769675.1,53.4,35.9,-1.2,x
1652785769691.9,54.7,35,-3.7,x
1652785769709,55.6,34.2,-6.1,x
1652785769725.5,55.7,34.1,-6.9,x
1652785769742.2,54.9,34.6,-7,x
1652785769758.5,53.3,36,-5.7,x
1652785769775.8,52.4,36.8,-4.8,x
1652785769792.3,50.8,38.3,-3.2,x
1652785769808.5,49.9,39.2,-2.1,x
1652785769825.6,49.8,39.3,-1.8,x
1652785769842.7,49.8,39.2,-1.7,x
1652785769858.9,49.9,38.8,-1.5,x
1652785769875.2,50,38.5,-1.1,x
1652785769892.4,50,38.4,-0.9,x
1652785769915.3,50.1,38.6,-0.4,x
1652785769926,50.1,38.7,-0.2,x
1652785769942.2,50.2,38.9,0,x
1652785769958.8,50.1,39,0.1,x
1652785769975.6,50,39.1,0.4,x
1652785769991.8,50,39,0.7,x
1652785770009.2,50.1,38.9,0.9,x
1652785770025.3,50.2,38.9,1,x
1652785770041.9,50.4,38.7,1.1,x
1652785770058.6,50.6,38.4,1,x
1652785770076,50.6,38.3,1,x
1652785770092.3,50.5,37.9,1.2,x
1652785770108.9,50.2,37.4,1.7,x
1652785770125.5,49.9,36.9,2.2,x
1652785770142.2,49.7,36.6,2.5,x
1652785770158.8,49.3,36.2,2.9,x
1652785770175.1,48.8,36.1,3.6,x
1652785770192.8,48.5,36.3,4.7,x
1652785770208.8,48.5,36.5,5.1,x
1652785770225.1,48.9,36.7,4.7,x
1652785770242.4,49.1,36.6,4,x
1652785770258.8,48.7,35.8,2.7,x
1652785770275.5,47.8,34.7,2.5,x
1652785770291.9,46.9,34.1,3.4,x
1652785770309.7,46.6,34.1,4.1,x
1652785770325.5,46.3,34.3,5,x
1652785770341.8,46.1,34.6,5.1,x
1652785770358.8,46.1,34.8,4.9,x
1652785770375.5,46.2,35,4.2,x
1652785770392.1,46.5,35.3,3.2,x
1652785770408.5,47.1,35.7,2.1,x
1652785770425.9,47.4,35.9,1.6,x
1652785770441.8,47.9,36.2,0.7,x
1652785770458.5,48.1,36.5,0.2,x
1652785770475.9,48.4,36.5,-0.3,x
1652785770492.1,48.5,36.5,-0.6,x
1652785770508.8,48.8,36.5,-1.4,x
1652785770525.1,48.9,36.5,-2.1,x
1652785770543.1,48.7,36.6,-2.4,x
1652785770558.8,48.6,36.6,-2.4,x
1652785770575.2,48.1,36.7,-2.2,x
1652785770592.2,47.8,36.6,-2,x
1652785770608.8,47,36.4,-1.3,x
1652785770625.1,46.2,36.1,-0.7,x
1652785770642.3,45.5,35.8,-0.6,x
1652785770659.2,45.1,35.5,-0.6,x
1652785770675.1,44.3,35,-0.8,x
1652785770691.8,43.1,34.3,-0.6,x
1652785770708.8,42.4,34.1,-0.3,x
1652785770725.5,41.1,33.6,0.7,x
1652785770741.8,40,33.4,1.5,x
1652785770759.1,39.3,33.2,1.5,x
1652785770775.9,39,33.1,1.2,x
1652785770792.2,38.2,32.4,0.6,x
1652785770808.5,37.2,31.2,0.4,x
1652785770825.7,36.5,30.5,0.7,x
1652785770847.3,34.7,29.1,2.1,x
1652785770858.4,34.3,28.8,2.7,x
1652785770875.1,33.6,28.8,3.4,x
1652785770892.6,33.4,28.9,3.7,x
1652785770908.8,33.2,29.4,3.9,x
1652785770925.1,33.3,29.8,3.8,x
1652785770942.2,33.5,30.2,3.5,x
1652785770958.8,33.7,30.4,3.3,x
1652785770975.5,34.1,31,2.9,x
1652785770991.8,34.4,31.7,2.6,x
1652785771009.2,34.5,32.1,2.6,x
1652785771025.1,34.6,33,2.7,x
1652785771041.8,34.7,33.8,2.8,x
1652785771059.1,34.9,34.2,2.8,x
1652785771075.5,35,34.3,2.7,x
1652785771092.3,35.2,34.4,2.5,x
1652785771108.5,35.2,34.1,2.5,x
1652785771125.9,35.2,33.9,2.5,x
1652785771141.8,35.3,33.4,2.4,x
1652785771158.5,35.5,32.9,2,x
1652785771175.3,35.8,32.6,1.4,x
1652785771192.2,36,32.6,1.1,x
1652785771208.8,36.1,32.8,0.7,x
1652785771225.2,36,33.2,0.7,x
1652785771242.6,35.9,33.4,0.8,x
1652785771258.8,35.9,33.7,1,x
1652785771275.1,35.8,33.8,1.1,x
1652785771292.7,35.8,33.9,1.2,x
1652785771308.6,35.8,34,1.9,x
1652785771328,35.9,34.1,2.5,x
1652785771341.8,36,33.8,2.5,x
1652785771359.3,36,33.4,2.2,x
1652785771375.1,36.1,32.3,1.6,x
1652785771391.8,36.1,31.3,1.7,x
1652785771408.8,36.1,30.9,2.7,x
1652785771425.5,36.2,30.9,3.3,x
1652785771442.3,36.3,31.2,4,x
1652785771458.5,36.6,31.5,3.9,x
1652785771476,36.7,31.6,3.6,x
1652785771492.2,37.1,31.6,3,x
1652785771508.5,37.6,31.7,2.6,x
1652785771525.4,38.2,32.1,2.3,x
1652785771542.6,38.5,32.4,2.2,x
1652785771558.7,39,33,2,x
1652785771575.1,39.3,33.5,1.8,x
1652785771592.5,39.5,33.7,1.6,x
1652785771608.8,39.9,34,1.4,x
1652785771625.1,40.5,34.2,0.9,x
1652785771642.5,41.1,34.4,0.3,x
1652785771659.3,41.4,34.5,0,x
1652785771675.5,42,34.9,-0.6,x
1652785771691.7,42.5,35.4,-1,x
1652785771709.2,42.6,35.6,-1.1,x
1652785771725.4,42.6,36,-1.3,x
1652785771741.8,42.5,36.4,-1.3,x
1652785771762.3,42.4,36.7,-1.5,x
1652785771775.5,42.4,36.8,-1.7,x
1652785771792.1,42.3,37.1,-2.2,x
1652785771808.4,42,37.3,-2.7,x
1652785771825.9,41.7,37.3,-2.8,x
1652785771842.2,40.7,37.5,-2.4,x
1652785771858.8,39.4,37.5,-1.4,x
1652785771875.1,38.3,37.2,-0.6,x
1652785771892.5,37.8,36.9,-0.4,x
1652785771908.5,36.6,35.8,-0.1,x
1652785771925.1,35.3,34.1,0.3,x
1652785771942.6,34.6,33.1,0.7,x
1652785771958.8,33.2,31.2,1.9,x
1652785771975.4,32.2,30.1,3.5,x
1652785771991.7,31.8,29.8,4.7,x
1652785772009.7,31.8,30.2,4.9,x
1652785772025.6,32,30.5,4.6,x
1652785772042.4,32.6,31.2,3.6,x
1652785772059.1,32.9,31.5,3,x
1652785772075.9,33.5,32.1,2,x
1652785772092.1,34,32.4,1.2,x
1652785772109.9,34.3,32.5,0.7,x
1652785772141.7,34.7,32.6,0.6,x
1652785772158.4,35,32.6,0.7,x
1652785772175.5,35.2,32.8,0.7,x
1652785772192.2,35.3,32.9,0.7,x
1652785772208.8,35.4,33.1,0.7,x
1652785772228.6,35.5,33.3,0.6,x
1652785772242.2,35.5,33.4,0.5,x
1652785772258.7,35.8,33.5,0.1,x
1652785772275.1,36,33.5,-0.4,x
1652785772292.6,36.2,33.5,-0.6,x
1652785772308.7,36.3,33.4,-1.1,x
1652785772325.5,36.4,33.3,-1.6,x
1652785772342.3,36.2,33.3,-1.9,x
1652785772359.2,36.1,33.3,-1.9,x
1652785772375,35.8,33.4,-1.7,x
1652785772391.7,35.5,33.8,-1.3,x
1652785772409.2,35.4,34.1,-1.1,x
1652785772425.4,35.3,35,-0.7,x
1652785772442.2,35.3,35.8,-0.4,x
1652785772458.5,35.4,36.2,-0.7,x
1652785772475.9,35.5,36.3,-1,x
1652785772492.1,35.5,35.8,-1.9,x
1652785772508.4,35.4,34.9,-2.2,x
1652785772525.8,35.3,34.4,-1.3,x
1652785772542.1,35.3,34.4,-0.6,x
1652785772558.4,35.3,34.8,0.6,x
1652785772575.1,35.5,35.3,0.9,x
1652785772592.6,35.7,35.5,0.7,x
1652785772608.7,36.1,35.6,0.1,x
1652785772625.1,36.8,35.4,-0.6,x
1652785772642.6,37.2,35.3,-0.8,x
1652785772658.7,38,35,-1.1,x
1652785772675,38.6,34.6,-1,x
1652785772691.7,38.9,34.5,-0.8,x
1652785772708.4,39.1,34.4,-0.5,x
1652785772725.4,39.4,34.5,-0.4,x
1652785772741.7,39.9,34.7,-0.7,x
1652785772759.1,40.2,34.9,-1,x
1652785772775.4,40.9,35.4,-1.7,x
1652785772792.1,41.3,35.8,-2.2,x
1652785772808.4,41.5,36.1,-2.4,x
1652785772825.9,41.5,36.2,-2.4,x
1652785772842.1,41.5,36.3,-2.3,x
1652785772859.3,41.5,36.3,-2.4,x
1652785772876.8,41.4,36.5,-2.4,x
1652785772892.5,41.4,36.6,-2.5,x
1652785772908.5,41.2,36.8,-2.8,x
1652785772925.9,40.8,37.1,-3.3,x
1652785772942.7,40.5,37.2,-3.4,x
1652785772959,39.8,37.5,-3.3,x
1652785772975.1,39,37.7,-2.7,x
1652785772992.5,38.6,37.8,-2.5,x
1652785773008.4,38,37.9,-2.5,x
1652785773025.7,37.2,37.7,-2.8,x
1652785773042.5,36.3,37,-2.9,x
1652785773059.6,35.8,36.4,-2.8,x
1652785773075.7,34.9,35.2,-2.3,x
1652785773092.3,34.6,34.6,-2,x
1652785773109,34.2,33.8,-1.4,x
1652785773125.3,34.3,33.6,-1.2,x
1652785773142.4,34.7,33.7,-1.7,x
1652785773158.4,35.5,34,-2.7,x
1652785773176.1,35.9,34.1,-3.3,x
1652785773192,37,34.2,-4.5,x
1652785773208.3,37.9,34.2,-5.5,x
1652785773225,38.7,34.1,-6.3,x
1652785773242.7,39,34,-6.6,x
1652785773258.4,39.4,33.9,-6.7,x
1652785773275,39.6,34,-6.5,x
1652785773293.3,39.7,34.1,-6.3,x
1652785773308.5,39.8,34.3,-6.1,x
1652785773325.2,39.9,34.4,-5.8,x
1652785773343.5,40,34.4,-5.5,x
1652785773359.1,40.1,34.4,-5.4,x
1652785773375.1,40.1,34.4,-5,x
1652785773391.8,40.1,34.3,-4.8,x
1652785773409.5,39.9,34.2,-4.3,x
1652785773425.8,39.6,33.9,-3.7,x
1652785773441.8,39.1,33.6,-2.8,x
1652785773459.6,38.8,33.5,-2.2,x
1652785773475.7,38.3,33.4,-1.1,x
1652785773491.7,37.7,33.4,0,x
1652785773509.5,37.3,33.7,0.8,x
1652785773526.7,37.1,34.2,1.4,x
1652785773541.8,37,34.7,1.7,x
1652785773559.3,36.8,35.9,2.5,x
1652785773576.3,36.8,36.5,3,x
1652785773592.5,37,37.7,3.5,x
1652785773608.4,37.4,38.1,3,x
1652785773628.6,37.7,37.6,2.1,x
1652785773641.7,37.9,37.1,1.7,x
1652785773659,38.2,36,1.6,x
1652785773675.1,38.1,35.4,2.6,x
1652785773692.8,38,35.4,3.5,x
1652785773709.7,37.9,35.9,5.2,x
1652785773725.8,37.7,36.8,6.1,x
1652785773743,37.8,37.4,6.3,x
1652785773759.1,38,37.6,6.2,x
1652785773775,38.8,37.8,5.7,x
1652785773791.7,39.8,37.9,5,x
1652785773809.8,40.3,38.1,4.7,x
1652785773826,41,38.6,4.3,x
1652785773841.8,41.4,39.4,4.3,x
1652785773859.2,41.5,39.9,4.3,x
1652785773876.3,42,41.1,4.2,x
1652785773892.5,42.8,42.8,3.9,x
1652785773909.3,43.6,44.8,3.3,x
1652785773925,44.5,46.9,2.3,x
1652785773942.5,44.9,47.8,1.6,x
1652785773958.9,45.6,49.2,-0.3,x
1652785773975.5,45.6,49.9,-1.9,x
1652785773992.1,45.4,49.9,-2.3,x
1652785774008.3,45.1,49.4,-1.9,x
1652785774025.1,44.9,48.3,-0.4,x
1652785774046,44.9,47,1.3,x
1652785774059.1,44.9,46.3,1.9,x
1652785774075.1,44.9,45.2,2.6,x
1652785774093,44.4,44.6,2.9,x
1652785774112.5,43.8,44.5,3,x
1652785774125.7,42.5,44.3,3.4,x
1652785774141.7,41.1,43.9,3.7,x
1652785774159,39.4,42.8,4.4,x
1652785774175.7,38.5,41.9,4.9,x
1652785774192.4,36.7,39.6,6.3,x
1652785774209.5,35.3,37.1,7.9,x
1652785774225.8,34.8,35.9,8.7,x
1652785774242.4,34.4,33.8,9.6,x
1652785774258.4,34.6,32.5,9.8,x
1652785774275.8,35.3,32,9.1,x
1652785774292.2,35.8,31.9,8.5,x
1652785774308.8,37,32.3,7,x
1652785774325,38.3,32.9,5.6,x
1652785774342.5,38.8,33.3,4.9,x
1652785774359.1,39.7,34.2,3.8,x
1652785774375,40.1,34.6,3.3,x
1652785774391.6,41.2,35.6,1.7,x
1652785774409,41.5,35.9,1.2,x
1652785774425.2,42,36.2,0.3,x
1652785774441.7,42.2,36.3,-0.4,x
1652785774459.6,42.2,36.1,-0.6,x
1652785774475.7,42,35.6,-0.8,x
1652785774491.6,41.6,35,-0.8,x
1652785774509.1,41.3,34.8,-0.7,x
1652785774525.7,40.7,34.7,0.2,x
1652785774547.4,40,35,1.3,x
1652785774558.3,39.3,35.5,2.3,x
1652785774576.6,38.3,36,3.1,x
1652785774591.7,37.7,36.1,3.5,x
1652785774608.4,36.6,36.2,4,x
1652785774626.1,35.5,36,4.4,x
1652785774642.4,35,35.9,4.6,x
1652785774659.1,34.3,35.7,5.3,x
1652785774676,34.1,35.8,5.8,x
1652785774692.5,33.9,36.3,6.8,x
1652785774709,34.4,36.9,6.9,x
1652785774725.1,35.2,37.3,5.6,x
1652785774742.4,35.6,37.1,3.9,x
1652785774759.1,35.7,36.8,3.4,x
1652785774775.1,35.7,36.4,3.3,x
1652785774793.1,35.8,36.4,4.1,x
1652785774809.6,35.9,36.5,4.4,x
1652785774825.8,36.3,36.8,4.5,x
1652785774841.8,36.8,36.9,3.9,x
1652785774859.3,37,36.8,3.5,x
1652785774875.7,37.5,36.7,2.5,x
1652785774891.8,38,36.7,1.5,x
1652785774908.3,38.2,36.7,1.2,x
1652785774926.3,38.8,37,0.5,x
1652785774942.4,39.4,37.2,-0.3,x
1652785774961.4,39.8,37.3,-0.9,x
1652785774976.8,39.9,37.3,-1.1,x
1652785774992.4,39.9,37.5,-1.3,x
1652785775009.1,40,37.9,-1.5,x
1652785775025.8,40.1,38.3,-1.6,x
1652785775043,40.1,38.6,-1.6,x
1652785775059.3,40.2,39.1,-1.8,x
1652785775075.1,40.2,39.4,-2,x
1652785775091.7,40.1,39.5,-2,x
1652785775109.2,39.7,39.5,-2,x
1652785775125.5,39.4,39.4,-1.9,x
1652785775141.7,39.2,39.2,-1.8,x
1652785775159.2,38.9,39,-2,x
1652785775175.7,38.7,38.8,-2.1,x
1652785775191.7,38.1,38.4,-2.2,x
1652785775208.3,37.1,38,-1.6,x
1652785775225.7,36.5,37.7,-1.1,x
1652785775242.4,35.5,37.2,-0.1,x
1652785775259.3,34.7,36.3,0.6,x
1652785775276.7,34.2,35.8,0.9,x
1652785775292.4,33.1,34.4,1.6,x
1652785775309.1,31.9,32.7,2.5,x
1652785775326,31.1,31.1,3.7,x
1652785775342.6,30.9,30.3,4.2,x
1652785775359,30.9,29.3,4.8,x
1652785775375.8,31.7,28.8,4.8,x
1652785775393.3,32.9,28.7,4.1,x
1652785775409,33.5,28.9,3.6,x
1652785775425.1,34.9,29.1,2.6,x
1652785775442.7,35.5,29.2,2.1,x
1652785775459.1,36.5,29.4,1.4,x
1652785775474.9,37.4,29.7,1,x
1652785775491.7,38.2,30,0.9,x
1652785775509.4,38.6,30.3,0.9,x
1652785775525.5,39.2,30.9,1,x
1652785775542.5,39.8,31.5,1,x
1652785775559.8,40.1,32,1.1,x
1652785775576.2,40.3,32.2,1.2,x
1652785775591.8,40.4,32.4,1.4,x
1652785775608.3,40.4,32.3,1.6,x
1652785775626.2,40.3,32.2,1.7,x
1652785775641.8,40.3,32,1.7,x
1652785775658.4,40.3,31.9,1.6,x
1652785775691.8,40.3,32.2,1.5,x
