time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1655202292343.9,12.7,18.6,2.1,
1655202292377.2,12.8,18.4,2,x
1655202292393.9,13.1,18.2,1.6,x
1655202292410.5,13.4,17.9,1.1,x
1655202292427.2,13.5,17.9,0.8,x
1655202292443.8,13.7,18.1,0.4,x
1655202292460.6,13.7,18.4,0.2,x
1655202292477.2,13.7,18.5,0.3,x
1655202292493.9,13.5,18.7,0.9,x
1655202292510.5,13.3,18.8,1.4,x
1655202292543.9,13.4,19.2,1.2,x
1655202292560.5,13.2,19.5,1.6,x
1655202292577.2,13,19.7,2,x
1655202292593.8,12.7,20,2.7,x
1655202292610.5,12.6,20.1,2.9,x
1655202292627.4,12.6,20.1,2.8,x
1655202292643.9,12.7,20.2,2.8,x
1655202292660.5,12.5,20.2,3.2,x
1655202292677.2,12.5,20.2,3.3,x
1655202292694,12.5,20.2,3.2,x
1655202292710.5,12.5,20.1,2.9,x
1655202292729,12.6,20.3,2.4,x
1655202292744.8,12.5,20.8,2,x
1655202292761.2,12.5,21.3,2.1,x
1655202292777.9,12.2,22.4,2.6,x
1655202292794.6,12,23.7,2.9,x
1655202292811.3,12,24.1,3.1,x
1655202292827.9,11.9,24.4,3.2,x
1655202292844.4,12,24.9,2.9,x
1655202292861,12,25.1,2.8,x
1655202292877.9,11.7,25.5,2.8,x
1655202292894.4,11.1,25.7,3.1,x
1655202292911.2,10.7,25.8,3.4,x
1655202292927.9,10.1,26,3.6,x
1655202292944.7,10,26.4,3,x
1655202292961.2,9.7,26.3,3.3,x
1655202292977.9,9.6,26.7,3.4,x
1655202292994.4,9.5,27.6,3,x
1655202293011.4,9.4,28.3,2.8,x
1655202293036.6,8.7,29.8,2.5,x
1655202293044.4,8.3,30.3,2.6,x
1655202293061.4,7.8,30.6,2.9,x
1655202293077.8,6.8,31.2,3.4,x
1655202293094.3,6.1,30.9,3.5,x
1655202293111,5.9,30.8,3.2,x
1655202293128.1,5.5,30.5,2.8,x
1655202293145.1,4.9,30.4,2.8,x
1655202293161.4,4.7,30.5,2.8,x
1655202293177.9,4.5,31,2.3,x
1655202293194.3,4.4,31.5,2,x
1655202293211,4.2,31.6,1.9,x
1655202293227.5,3.9,31.5,1.8,x
1655202293244,3.6,31.2,1.8,x
1655202293260.4,3.5,30.9,1.7,x
1655202293277.8,3.5,30.3,1.3,x
1655202293299.9,3.5,30,1,x
1655202293311.5,3.3,30,1.1,x
1655202293327.4,2.9,30.2,1.5,x
1655202293344.1,2.6,30.3,1.9,x
1655202293361.9,2.3,30.3,2,x
1655202293394.2,2,30.4,2.1,x
1655202293410.9,1.9,30.4,2.2,x
1655202293427.6,1.7,30.4,2.3,x
1655202293444.3,1.6,30.5,2.3,x
1655202293461.9,1.4,30.6,2.6,x
1655202293477.5,1.3,30.6,2.7,x
1655202293494.2,1.2,30.7,2.8,x
1655202293511,1.2,30.7,2.9,x
1655202293547.4,1.1,30.7,3.2,x
1655202293561,1.1,30.6,3.3,x
1655202293579.6,1.1,30.5,3.3,x
1655202293594.1,1.1,30.3,3.3,x
1655202293644.2,1.2,30.2,3.4,x
1655202293694.2,1.3,30.1,3.4,x
1655202293710.9,1.4,30.1,3.4,x
1655202293727.7,1.4,29.9,3.3,x
1655202293744.3,1.5,29.8,3.2,x
1655202293761,1.5,29.7,3.1,x
1655202293812.2,1.6,29.6,3,x
1655202293877.4,1.8,29.6,2.8,x
1655202293895.7,1.9,29.7,2.8,x
1655202293945,2,30,2.8,x
1655202293978.9,2,30.1,2.7,x
1655202293994.4,2.1,30.1,2.7,x
1655202294027.8,2.2,30.1,2.7,x
1655202294044.3,2.3,30.1,2.7,x
1655202294077.9,2.4,30.1,2.7,x
1655202294094.5,2.4,30.2,2.8,x
1655202294127.6,2.6,30.2,2.7,x
1655202294144.7,2.7,30.2,2.6,x
1655202294177.9,2.8,30.2,2.5,x
1655202294194.3,2.9,30.3,2.6,x
1655202294227.8,2.9,30.4,2.7,x
1655202294244.8,2.9,30.4,2.8,x
1655202294294.6,3.1,30.2,2.8,x
1655202294327.8,3.2,30.1,2.8,x
1655202294344.3,3.2,30,2.8,x
1655202294361.2,3.3,30,2.8,x
1655202294377.8,3.3,29.9,2.7,x
1655202294394.2,3.3,29.8,2.7,x
1655202294411,3.4,29.8,2.7,x
1655202294444.7,3.4,29.7,2.8,x
1655202294503,3.5,29.7,2.9,x
1655202294513.4,3.6,29.8,2.9,x
1655202294543.8,3.7,29.9,2.9,x
1655202294561.7,3.8,29.9,2.8,x
1655202294594.3,3.9,29.9,2.8,x
1655202294613.2,4,29.9,2.7,x
1655202294631,4.1,29.8,2.6,x
1655202294645.7,4.2,29.8,2.5,x
1655202294694.3,4.3,29.6,2.4,x
1655202294763.6,4.3,29.5,2.5,x
1655202294778.6,4.2,29.4,2.7,x
1655202294794,4.1,29.4,2.8,x
1655202294810.7,4,29.3,3,x
1655202294844.2,4,29.3,3.1,x
1655202294893.8,4,29.3,3.2,x
1655202294911.2,4.1,29.2,3.2,x
1655202295028,4.2,29.3,3.3,x
1655202295062.6,4.2,29.4,3.3,x
1655202295144.2,4.4,29.4,3.3,x
1655202295227.6,4.5,29.4,3.2,x
1655202295261.2,4.6,29.4,3.2,x
1655202295344.1,4.6,29.3,3.3,x
1655202295361.5,4.6,29.3,3.4,x
1655202295394.2,4.7,29.4,3.4,x
1655202295443.8,4.8,29.4,3.5,x
1655202295510.7,5,29.5,3.4,x
1655202295527.5,5,29.5,3.3,x
1655202295544.1,5.1,29.5,3.2,x
1655202295577.5,5.2,29.5,3.1,x
1655202295594.2,5.3,29.5,3.1,x
1655202295611.5,5.3,29.6,3,x
1655202295645,5.3,29.7,3,x
1655202295777.2,5.4,29.6,3.1,x
1655202295794,5.4,29.6,3,x
1655202295844.2,5.5,29.7,3,x
1655202295927.6,5.5,29.6,3,x
1655202295944.1,5.5,29.5,3.1,x
1655202295961.1,5.6,29.5,3.1,x
1655202296011,5.6,29.6,3.1,x
1655202296077.6,5.8,29.6,3.1,x
1655202296094.2,5.9,29.7,3.1,x
1655202296127.5,6,29.7,3.2,x
1655202296164.6,6,29.6,3.2,x
1655202296177.9,6,29.6,3.3,x
1655202296194,6.1,29.6,3.3,x
1655202296263.2,6.3,29.6,3.3,x
1655202296284.7,6.3,29.5,3.4,x
1655202296327.7,6.4,29.6,3.3,x
1655202296351.2,6.5,29.6,3.2,x
1655202296392.8,6.5,29.6,3.1,x
1655202296394.2,6.6,29.6,3.1,x
1655202296413.3,6.6,29.7,3.2,x
1655202296444,6.6,29.8,3.1,x
1655202296460.8,6.7,29.8,3,x
1655202296494.8,6.7,29.9,2.9,x
