time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1658226222694.2,0,0,0.1,-0.3,5.6,8.1,-3.6,-1.1,-0.1,x
1658226222710.6,0,0,0.1,-0.4,5.6,8.2,-3,-1,-0.2,x
1658226222727.5,0,0,0.1,-0.4,5.6,8.2,-1,-0.9,0.2,x
1658226222744,0,0,0,-0.3,5.6,8.1,-1,-1.6,-0.1,x
1658226222760.7,0,0,0.1,-0.4,5.6,8.2,-2,-0.7,-0.4,x
1658226222777.3,0,0,0,-0.4,5.6,8.1,-2,-0.4,-0.4,x
1658226222794.2,0,0,0.1,-0.3,5.6,8.2,-2.4,-0.4,-0.5,x
1658226222810.6,0,0,0.1,-0.4,5.6,8.1,-1.6,0.1,-0.5,x
1658226222827.5,-0.1,0,0.1,-0.4,5.6,8.2,-1.4,0.3,-0.4,x
1658226222844.2,-0.1,0,0.2,-0.4,5.6,8.3,-1.9,-0.8,0.4,x
1658226222861.4,0.1,0,0.1,-0.3,5.6,8.2,-0.5,-1.8,0.7,x
1658226222877.6,0,0,0.1,-0.3,5.5,8.2,0.2,-2.4,0.4,x
1658226222894.3,0,0.1,0,-0.4,5.6,8.1,-0.2,-0.4,0.6,x
1658226222911.5,0,0,-0.1,-0.4,5.6,8,-1.7,-2,0.1,x
1658226222927.6,0,0,-0.1,-0.3,5.6,8,-2.1,-2.2,0.1,x
1658226222944.2,0.1,0,0.1,-0.3,5.5,8.2,-1.9,-1.9,-0.2,x
1658226222962.4,0,0.1,0.2,-0.3,5.6,8.3,-2.3,-1.8,-0.2,x
1658226222981.6,0,0.1,0.1,-0.3,5.5,8.2,-2.4,-1.7,-0.3,x
1658226222993.9,0,0,0,-0.3,5.5,8.1,-1.9,-1.5,-0.2,x
1658226223010.6,0,0,0,-0.3,5.5,8.1,-1.5,-1.5,0.1,x
1658226223027.2,0,0,0.1,-0.3,5.5,8.2,-0.6,-1.2,0.1,x
1658226223043.8,0,0.1,0.1,-0.3,5.6,8.2,-0.3,-0.7,-0.1,x
1658226223061.1,0,0.1,0,-0.4,5.6,8.1,-0.7,-0.5,-1,x
1658226223077.2,-0.1,0.1,-0.1,-0.4,5.6,8,-1.3,-0.9,-1.5,x
1658226223094.1,-0.1,-0.1,-0.1,-0.4,5.5,8,-3,-2,-0.5,x
1658226223110.7,-0.1,-0.1,-0.1,-0.4,5.4,8,-3.8,-1.6,0.4,x
1658226223127.5,0.1,-0.1,0.1,-0.3,5.4,8.2,-4.2,-2.2,1,x
1658226223143.7,0.1,0,0.2,-0.2,5.5,8.4,-2.2,-2.8,0.9,x
1658226223160.7,0.1,0.1,0.1,-0.3,5.5,8.2,0.1,-2.4,0.5,x
1658226223177.6,0.1,0.1,0,-0.2,5.5,8.1,0.2,-2,0.2,x
1658226223194.2,0,0.1,0,-0.3,5.5,8.1,-1.6,-2.1,-0.3,x
1658226223210.6,0,0,0,-0.2,5.5,8.2,-3.3,-2.9,-0.4,x
1658226223227.5,0.1,0,0.1,-0.2,5.5,8.2,-3.2,-2.7,-0.5,x
1658226223243.7,0,0,0.1,-0.2,5.5,8.2,-2.7,-1.7,-0.6,x
1658226223261.4,0,0,0.1,-0.3,5.5,8.3,-2.9,-1.4,-0.6,x
1658226223277.5,0,0,0.1,-0.2,5.4,8.3,-2.7,-1.8,-0.5,x
1658226223294.2,0,0,0.1,-0.2,5.4,8.2,-1.2,-1.8,-0.1,x
1658226223310.6,0.1,0.1,0.1,-0.2,5.5,8.3,-0.8,-1.4,-0.2,x
1658226223327.5,0.1,0.1,0.2,-0.2,5.5,8.3,-0.7,-0.8,-0.5,x
1658226223344,0,0.1,0.1,-0.2,5.5,8.2,-0.4,-0.4,-0.9,x
1658226223360.8,0,0,0,-0.2,5.4,8.2,0.1,-1.1,-1.3,x
1658226223377.5,-0.1,0,0,-0.3,5.4,8.2,-0.1,-0.8,-1.5,x
1658226223394,-0.1,0,0,-0.3,5.4,8.2,-0.7,-1.2,-1.5,x
1658226223410.6,0,0,0,-0.3,5.4,8.2,0.1,-0.5,-0.5,x
1658226223427.5,0,0,0,-0.2,5.5,8.1,0.2,-0.6,-0.3,x
1658226223444.2,0,0,0,-0.2,5.5,8.1,-0.3,-0.1,-0.8,x
1658226223461.1,0,0,0,-0.3,5.5,8.2,-1.3,0.8,-1.1,x
1658226223478,0,0,0.1,-0.3,5.5,8.3,-1.6,0.6,-1.2,x
1658226223494.2,0,0,0.1,-0.3,5.4,8.3,-1.6,0.4,-1.1,x
1658226223510.6,-0.1,-0.1,0.2,-0.3,5.4,8.3,-1.4,0,-0.9,x
1658226223527.4,-0.1,0,0.1,-0.3,5.4,8.3,-1.1,-1.1,-0.5,x
1658226223549.2,0,0,0.1,-0.2,5.4,8.3,-0.3,-0.8,-0.2,x
1658226223561,0,0,0.1,-0.3,5.4,8.3,0.7,0.3,-0.5,x
1658226223577.9,0,0,0.1,-0.3,5.5,8.3,1.1,0.3,-0.7,x
1658226223593.9,0,0.1,0,-0.3,5.5,8.2,0.9,-0.5,-0.7,x
1658226223610.6,0.1,0.1,0,-0.2,5.5,8.2,-0.2,-0.8,-0.9,x
1658226223651.1,0,0,0.1,-0.2,5.4,8.2,-1.1,-1.1,-0.5,x
1658226223660.8,0,0,0,-0.2,5.4,8.2,-0.9,-1.1,-0.5,x
1658226223677.1,0.1,0,0,-0.2,5.4,8.2,-0.6,-0.1,-0.8,x
1658226223693.7,0,0,0.1,-0.3,5.4,8.3,0.3,-0.8,-0.9,x
1658226223713.6,0,0.1,0.1,-0.3,5.5,8.2,1.5,-0.4,-0.6,x
1658226223727.9,0,0.1,0,-0.3,5.5,8.2,1.2,0.2,-0.5,x
1658226223744,0,0,0,-0.3,5.4,8.2,-0.3,0.3,-0.7,x
1658226223761.4,0,0,0.1,-0.2,5.4,8.3,-0.8,-0.9,-0.7,x
1658226223777.4,0,0,0.1,-0.2,5.4,8.2,-0.5,-1.1,-0.5,x
1658226223793.8,0,0.1,0,-0.3,5.5,8.2,0.1,0,-0.9,x
1658226223810.5,-0.1,0,0,-0.3,5.4,8.2,0.2,0.7,-0.8,x
1658226223827.4,0,0,0,-0.3,5.4,8.2,0.1,0.5,-0.5,x
1658226223843.9,0,0,0,-0.2,5.4,8.2,-0.5,0,-0.1,x
1658226223860.1,0,0,0,-0.2,5.4,8.2,-1,-0.1,-0.3,x
1658226223877.4,0,0,0.1,-0.3,5.4,8.3,-1.3,0,-1.2,x
1658226223906.5,0,0,0,-0.3,5.4,8.2,-1.4,0,-0.3,x
1658226223910.4,0,0,0,-0.3,5.4,8.3,-1.4,0,-0.3,x
1658226223927.5,0,0,0.2,-0.3,5.4,8.4,-1.3,-1.6,-0.4,x
1658226223943.9,0,0.1,0.1,-0.3,5.4,8.3,-0.6,-0.1,-0.7,x
1658226223960.3,0,0,0.1,-0.3,5.4,8.3,0,1.6,-0.7,x
1658226223977.2,0,0,0,-0.3,5.4,8.2,0,1.1,-0.4,x
1658226223993.9,0,0,0,-0.2,5.4,8.2,-0.2,-0.3,-0.4,x
1658226224011.7,0,0,0.1,-0.3,5.4,8.3,-0.3,-0.5,-0.4,x
1658226224027.5,0,0.1,0.1,-0.3,5.4,8.2,0,-0.2,-0.5,x
1658226224044,0,0,0,-0.3,5.4,8.2,0.6,1,-0.3,x
1658226224061.7,0,0,0,-0.2,5.4,8.2,-0.2,1.1,0.1,x
1658226224077.4,0.1,0,0,-0.2,5.4,8.2,-0.3,0.4,-0.2,x
1658226224093.9,0,0.1,0.1,-0.2,5.4,8.3,0,1.1,-1.2,x
1658226224111.7,-0.1,0,0.1,-0.3,5.4,8.3,1,1,-1.6,x
1658226224128.1,0,0,0,-0.3,5.4,8.2,1.6,0.9,-1.5,x
1658226224143.9,-0.1,-0.1,-0.1,-0.4,5.3,8.1,1,1.2,-1.1,x
1658226224160.8,-0.1,-0.1,-0.1,-0.4,5.3,8.1,-1.3,1.3,0.1,x
1658226224177.7,0,0,0,-0.3,5.3,8.2,-2.1,1.7,0.9,x
1658226224194.1,0,0,0.2,-0.3,5.4,8.3,-1.3,0.6,0.6,x
1658226224210.6,0,0.1,0.2,-0.3,5.5,8.3,-0.1,-0.1,0,x
1658226224227.5,-0.1,0.1,0,-0.4,5.5,8.2,0.9,0.3,-1.2,x
1658226224243.9,0,0.1,0,-0.3,5.4,8.2,-1,0.4,-1.2,x
1658226224261.8,0,0,0,-0.3,5.4,8.2,-2.9,-0.3,-0.4,x
1658226224277.4,0,0,0.1,-0.3,5.3,8.3,-2.8,0,-0.3,x
1658226224294,-0.1,0,0.1,-0.4,5.4,8.3,-0.8,0.5,0.2,x
1658226224310.6,0,0,0.1,-0.3,5.4,8.3,0.6,0.6,0.7,x
1658226224328.1,0,0.1,0.1,-0.3,5.4,8.3,0.5,0.4,0.6,x
1658226224344.1,0,0.1,0,-0.3,5.4,8.2,0,-0.3,0.1,x
1658226224360.5,0,0,0.1,-0.3,5.4,8.3,-1,0.1,0,x
1658226224377.5,0,0,0.1,-0.3,5.4,8.3,-0.9,-0.3,-0.2,x
1658226224394.2,0,0,0.1,-0.3,5.4,8.3,0.2,-0.6,-0.7,x
1658226224411.2,0,0,-0.1,-0.3,5.4,8.1,1.3,-0.2,-0.4,x
1658226224427.2,0,0,-0.1,-0.3,5.4,8.1,1.3,1,-0.3,x
1658226224444.2,-0.1,0,0,-0.4,5.4,8.2,0.2,1.5,-0.3,x
1658226224461.5,0,0,0.2,-0.3,5.4,8.4,1,-0.5,0.6,x
1658226224477.5,0,0.1,0.2,-0.3,5.4,8.4,2.1,-0.8,0.7,x
1658226224494.2,0.1,0.1,-0.1,-0.2,5.4,8.1,3.5,1.3,0,x
1658226224510.6,0,-0.1,-0.1,-0.3,5.3,8.1,1.9,1.8,-1.2,x
1658226224527.5,-0.1,-0.1,-0.1,-0.4,5.3,8.1,1.3,0.6,-1.6,x
1658226224544.1,-0.1,0,-0.1,-0.4,5.4,8.1,-1,-0.6,-0.3,x
1658226224566.4,-0.1,0,0,-0.4,5.4,8.2,-1.4,-0.8,0.4,x
1658226224600.5,-0.1,0.1,0,-0.4,5.4,8.2,-1.3,0.9,0.8,x
1658226224614,0.1,0,0,-0.3,5.4,8.2,-1.9,0.1,0.7,x
1658226224626.9,0,0,0.1,-0.3,5.4,8.3,-2.2,-0.8,0.2,x
1658226224646.9,0,0,0.2,-0.3,5.4,8.4,-2,-1.6,0.4,x
1658226224660.7,0,0,0.2,-0.3,5.4,8.4,-1.3,-1.1,0.4,x
1658226224677.3,0,0,0,-0.3,5.4,8.2,0.1,0.9,0.5,x
1658226224694.2,0,0,0,-0.3,5.4,8.2,-1,0.7,0.7,x
