time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1658433902370,3.03,22.29,-14.84,x
1658433902387,2.94,21.93,-14.28,x
1658433902404,2.9,21.58,-13.76,x
1658433902421,2.51,21.14,-13.22,x
1658433902438,2.46,20.86,-12.89,x
1658433902454,2.35,20.65,-12.59,x
1658433902470,2.15,20.47,-12.23,x
1658433902487,1.91,20.22,-11.65,x
1658433902504,1.79,20.02,-11.15,x
1658433902521,1.7,19.79,-10.56,x
1658433902537,1.68,19.63,-10.23,x
1658433902554,1.58,19.5,-9.97,x
1658433902571,1.31,19.3,-9.64,x
1658433902587,1.09,19.14,-9.38,x
1658433902604,0.92,19.01,-9.1,x
1658433902621,0.78,18.82,-8.69,x
1658433902638,0.76,18.65,-8.39,x
1658433902654,0.77,18.45,-8.13,x
1658433902671,0.75,18.19,-7.77,x
1658433902687,0.71,18.02,-7.44,x
1658433902704,0.68,17.88,-7.07,x
1658433902721,0.74,17.85,-6.65,x
1658433902737,0.82,17.99,-6.19,x
1658433902754,0.84,18.18,-5.66,x
1658433902771,0.51,18.32,-5.06,x
1658433902787,0.03,18.21,-4.66,x
1658433902804,359.46,17.89,-4.36,x
1658433902821,358.74,17.29,-4,x
1658433902837,358.25,16.82,-3.64,x
1658433902854,357.84,16.43,-3.14,x
1658433902871,357.42,16.08,-2.51,x
1658433902887,357.29,15.88,-2.03,x
1658433902904,357.28,15.73,-1.65,x
1658433902921,357.25,15.64,-1.53,x
1658433902937,357.27,15.57,-1.39,x
1658433902954,357.35,15.38,-1.27,x
1658433902971,357.61,14.94,-1.01,x
1658433902987,357.9,14.44,-0.81,x
1658433903004,358.23,13.77,-0.75,x
1658433903021,358.57,12.61,-1.05,x
1658433903037,358.61,11.59,-1.36,x
1658433903054,358.51,10.44,-1.66,x
1658433903071,358.23,8.73,-2.17,x
1658433903087,357.87,7.42,-2.39,x
1658433903104,357.42,6.22,-2.36,x
1658433903121,356.78,4.84,-2.51,x
