time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1658234425105.3,13.1,32.6,3.6,x
1658234425122,13,32.6,3.5,x
1658234425138.7,13.1,32.4,3.2,x
1658234425155.4,13.5,32.3,2.7,x
1658234425172,13.7,32.2,2.3,x
1658234425188.7,14.1,31.9,1.7,x
1658234425205.4,15.2,31.8,-0.4,x
1658234425222.1,15.1,31.1,-0.4,x
1658234425238.6,14.9,30.8,-0.2,x
1658234425255.3,14.6,30.4,0.2,x
1658234425272,14.6,30.2,0.2,x
1658234425288.7,14.7,30.4,0.1,x
1658234425305.4,14.3,30.8,0.6,x
1658234425322.1,13.8,31.3,1.4,x
1658234425338.7,13.6,31.4,1.6,x
1658234425356.2,13.4,31.6,1.8,x
1658234425379.8,13.3,31.7,1.9,x
1658234425391.8,13.2,31.9,2,x
1658234425408.2,13,32.1,2.2,x
1658234425424.4,13,32.2,2.3,x
1658234425441.3,13,32.3,2.3,x
1658234425457.8,13.1,32.2,2.1,x
1658234425473.7,13.1,32.1,2,x
1658234425490.8,13.2,32,1.7,x
1658234425507.7,13.3,31.8,1.5,x
1658234425540.9,13.4,31.6,1.2,x
1658234425573.6,13.5,31.6,1.1,x
1658234425590.8,13.5,31.7,1.1,x
1658234425607.3,13.5,31.7,1,x
1658234425657,13.4,31.7,1.1,x
1658234425673.8,13.4,31.6,1,x
1658234425723.8,13.4,31.5,1,x
1658234425757,13.3,31.6,1,x
1658234425774.6,13.3,31.7,1.1,x
1658234425806.4,13.3,31.7,1,x
1658234425839.5,13.4,31.5,1,x
1658234425873.3,13.4,31.6,1,x
1658234425908.2,13.3,31.7,1,x
1658234425974.6,13.4,31.6,0.9,x
1658234426023.8,13.5,31.7,0.8,x
1658234426056.6,13.6,31.6,0.6,x
1658234426073.4,13.6,31.5,0.6,x
1658234426093.4,13.6,31.5,0.5,x
1658234426142,13.7,31.5,0.3,x
1658234426157,13.7,31.6,0.3,x
1658234426192,13.7,31.5,0.3,x
1658234426325,13.7,31.3,0.4,x
1658234426456.8,13.9,31.3,0.4,x
1658234426540.5,13.9,31.2,0.2,x
1658234426623.4,14,31.2,0.1,x
1658234426656.7,14,31.1,0.1,x
1658234426724.4,14,31,0.1,x
1658234426806.8,14,30.8,0.1,x
1658234426824.3,14,30.8,0,x
1658234426840.3,14,30.8,0.1,x
1658234426890.3,14,30.8,0,x
1658234427007.3,14,30.9,0,x
1658234427106.7,13.9,30.8,0,x
1658234427123.7,13.9,30.8,0.1,x
1658234427140.8,13.9,30.7,0,x
1658234427173.3,13.9,30.7,0.1,x
1658234427285.3,13.8,30.8,0.3,x
1658234427339.6,13.8,30.9,0.3,x
1658234427356.8,13.8,30.9,0.2,x
1658234427424.3,13.9,31,0.1,x
1658234427494.6,13.8,31.1,0.2,x
1658234427507.2,13.8,31,0.1,x
1658234427555.9,13.8,31,0.2,x
1658234427605.8,13.8,30.9,0.3,x
1658234427672.6,13.8,30.8,0.3,x
1658234427689.7,13.8,30.9,0.3,x
1658234427757.4,13.8,30.9,0.2,x
1658234427890.1,13.8,31.1,0.2,x
1658234427923.8,13.9,31.2,0.2,x
1658234428006.8,13.7,31.2,0.3,x
1658234428056.4,13.7,31.1,0.3,x
1658234428141.2,13.7,31,0.4,x
1658234428156.8,13.7,31.1,0.3,x
1658234428224.5,13.7,31,0.3,x
1658234428239.7,13.8,31,0.2,x
1658234428307.9,13.8,31.1,0.2,x
1658234428323.8,13.8,31.1,0.1,x
1658234428408.3,13.7,31.1,0.2,x
1658234428473.5,13.7,31.2,0.2,x
1658234428673.5,13.6,31.3,0.3,x
1658234428690.7,13.6,31.4,0.3,x
1658234428756.7,13.5,31.4,0.4,x
1658234428839.7,13.6,31.5,0.3,x
1658234428905.9,13.5,31.5,0.3,x
1658234428928.1,13.5,31.6,0.4,x
1658234428972.7,13.4,31.5,0.5,x
1658234429056,13.3,31.4,0.6,x
1658234429105.5,13.3,31.6,0.6,x
1658234429157.2,13.3,31.6,0.5,x
1658234429191.2,13.4,31.5,0.5,x
1658234429206.1,13.4,31.6,0.5,x
1658234429223.5,13.4,31.7,0.5,x
1658234429239.7,13.4,31.7,0.6,x
1658234429355.9,13.3,31.8,0.5,x
1658234429412.5,13.5,31.9,0.5,x
1658234429430.8,13.7,32,0.4,x
1658234429506.5,13.9,32,0.5,x
1658234429540.1,13.9,32.1,0.4,x
1658234429556.3,13.9,32.2,0.5,x
1658234429574.4,13.9,32.3,0.5,x
1658234429640.1,13.9,32.2,0.5,x
1658234429689.8,13.9,32.1,0.5,x
1658234429706.6,13.8,32.1,0.6,x
1658234429739.9,13.7,32,0.6,x
1658234429756.5,13.7,32,0.5,x
1658234429789.8,13.7,31.9,0.6,x
1658234429839.9,13.7,32,0.8,x
1658234430023.7,13.7,31.9,0.6,x
1658234430055.7,13.6,31.9,0.5,x
