time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1652785301567.6,99,39.8,-13.7,
1652785301585.4,98.9,39.6,-13.5,x
1652785301602.1,98.6,39.4,-13,x
1652785301615.5,98.3,39.2,-12.5,x
1652785301632.3,98.3,39.1,-12.4,x
1652785301648.8,98.3,39.2,-12.4,x
1652785301665.6,98.4,39.4,-12.5,x
1652785301682.7,98.3,39.5,-12.3,x
1652785301699.3,98.2,39.5,-12.2,x
1652785301715.9,97.9,39.4,-11.6,x
1652785301732.3,97.6,39.3,-10.9,x
1652785301749.6,97.5,39.2,-10.7,x
1652785301765.8,97.2,39.2,-10.1,x
1652785301782.2,96.9,39.2,-9.3,x
1652785301799.9,96.7,39.1,-8.8,x
1652785301815.9,96.3,39.1,-7.8,x
1652785301832.2,95.9,39,-7,x
1652785301849.3,95.6,39,-6.2,x
1652785301866.3,95.4,39,-5.9,x
1652785301882.5,95.1,39.1,-5.2,x
1652785301898.9,94.9,39.2,-4.6,x
1652785301915.9,94.8,39.2,-4.2,x
1652785301932.5,94.6,39.4,-3.6,x
1652785301949.2,94.3,39.6,-3.1,x
1652785301966.1,94,39.6,-2.8,x
1652785301982.5,93.9,39.6,-2.6,x
1652785301999.1,93.6,39.4,-2.3,x
1652785302039.3,93.3,39.2,-2.3,x
1652785302056.4,93.2,39,-2.7,x
1652785302065.8,93.1,38.9,-2.8,x
1652785302082.6,93,38.7,-3.2,x
1652785302099.7,93,38.6,-3.4,x
1652785302115.9,93,38.4,-3.7,x
1652785302132.3,92.8,38.2,-3.7,x
1652785302149.6,92.8,38,-3.7,x
1652785302165.9,92.8,37.8,-3.7,x
1652785302182.5,92.9,37.7,-3.9,x
1652785302199.3,92.8,37.4,-3.9,x
1652785302216.3,92.7,37.4,-3.8,x
1652785302232.6,92.7,37.1,-3.7,x
1652785302248.9,92.6,36.8,-3.5,x
1652785302266.6,92.5,36.6,-3.5,x
1652785302282.5,92.5,36.3,-3.3,x
1652785302299.2,92.4,36.1,-3,x
1652785302333,92.3,36.1,-2.6,x
1652785302349.1,92.1,36,-2.1,x
1652785302365.6,92,35.9,-1.6,x
1652785302382.6,92,35.8,-1.5,x
1652785302399.3,92.1,35.8,-1.5,x
1652785302415.6,92.1,35.9,-1.6,x
1652785302449.8,92,36,-1.6,x
1652785302482.3,91.9,36.1,-1.5,x
1652785302500.3,91.9,36.3,-1.6,x
1652785302539.2,92,36.7,-1.7,x
1652785302549.2,91.9,37,-1.7,x
1652785302566.3,91.8,37.2,-1.6,x
1652785302582.3,91.6,37.4,-1.2,x
1652785302599.2,91.4,37.5,-0.8,x
1652785302616.4,91.3,37.6,-0.6,x
1652785302632.6,91.2,37.6,-0.2,x
1652785302648.9,91.1,37.7,0,x
1652785302665.6,91.1,37.8,0.1,x
1652785302699.3,91.2,38.1,0.2,x
1652785302715.6,91.1,38.5,0.5,x
1652785302732.9,91.1,38.8,0.7,x
1652785302749.2,90.9,39.2,1.1,x
1652785302766,90.8,39.4,1.7,x
1652785302782.6,90.8,39.4,2.1,x
1652785302799.2,90.8,39.3,2.3,x
1652785302815.9,90.9,39.4,2.4,x
1652785302832.3,91,39.6,2.3,x
1652785302849.2,91,39.7,2.2,x
1652785302865.6,91.1,40,1.8,x
1652785302882.7,91.2,40.1,1.3,x
1652785302899.5,91.2,40,0.7,x
1652785302915.9,91.3,39.9,0.3,x
1652785302932.6,91.3,39.6,-0.3,x
1652785302948.9,91.1,39.3,-0.4,x
1652785302966,91.1,39.1,-0.3,x
1652785302982.6,91,39.1,0,x
1652785302999.2,91,39.3,0.1,x
1652785303016,91,39.4,0,x
1652785303032.5,91.2,39.6,-0.5,x
1652785303049.3,91.5,39.7,-1.1,x
1652785303065.6,91.7,39.7,-1.5,x
1652785303083.1,91.8,39.6,-1.5,x
1652785303099.2,91.8,39.4,-1.2,x
1652785303116,91.8,39,-0.8,x
1652785303132.6,91.8,38.7,-0.5,x
1652785303148.9,91.7,38.5,-0.3,x
1652785303165.9,91.5,38.2,0.3,x
1652785303182.3,91.1,37.8,1,x
1652785303199.7,91,37.5,1.3,x
1652785303215.9,90.7,36.9,1.9,x
1652785303232.6,90.6,36.4,2.2,x
1652785303249.5,90.1,36,2.4,x
1652785303265.9,89.7,36,2.7,x
1652785303282.5,89.2,36.3,3,x
1652785303298.9,88.8,36.6,3.1,x
1652785303316.4,88.6,36.6,3.2,x
1652785303333,88.2,36.6,3.5,x
1652785303348.8,87.8,36.4,3.7,x
1652785303365.6,87.7,35.8,3.8,x
1652785303383,87.6,35.4,3.8,x
1652785303399.3,88.1,34.5,3.7,x
1652785303415.6,88.5,33.9,3.5,x
1652785303449.2,88.2,33.6,3.4,x
1652785303465.5,88,33.4,3.3,x
1652785303482.3,87.7,32.8,3.3,x
1652785303499.7,87.7,32.3,3.4,x
1652785303515.9,87.8,31.2,3.2,x
1652785303532.2,88.3,30.3,2.6,x
1652785303550,88.5,29.9,2.2,x
1652785303565.9,88.8,29.3,1.4,x
1652785303582.6,89.1,28.9,0.5,x
1652785303599.2,89.3,28.6,-0.4,x
1652785303615.8,89.4,28.4,-0.8,x
1652785303632.6,89.4,28.2,-1.1,x
1652785303648.9,89.6,28.6,-1.3,x
1652785303666.3,90.3,29.7,-1.8,x
1652785303683.1,90.7,30.4,-2.2,x
1652785303699.2,91.4,31.8,-2.9,x
1652785303715.5,91.8,32.6,-3.5,x
1652785303732.6,91.9,32.9,-3.8,x
1652785303749.3,92.3,33.1,-4.4,x
