time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_sitting
1652785653438.2,0,0,0,x
1652785653454.4,90,46.7,0,x
1652785653472.2,90.1,46.7,-0.1,x
1652785653488.3,90.2,46.7,-0.2,x
1652785653505.7,90.2,46.8,-0.3,x
1652785653522.2,90,46.8,0,x
1652785653538.3,89.8,46.8,0.2,x
1652785653554.9,89.6,46.8,0.4,x
1652785653570.9,89.8,46.8,0.2,x
1652785653588.3,90,46.8,0,x
1652785653604.5,90.3,46.9,-0.5,x
1652785653620.8,90.5,46.9,-0.8,x
1652785653637.5,90.6,46.8,-0.9,x
1652785653705.3,90.6,46.7,-0.9,x
1652785653738.3,90.5,46.7,-0.8,x
1652785653755.3,90.5,46.6,-0.8,x
1652785653788.3,90.4,46.5,-0.6,x
1652785653805.1,90.4,46.4,-0.5,x
1652785653820.7,90.4,46.3,-0.5,x
1652785653837.4,90.3,46.3,-0.3,x
1652785653854.1,90.2,46.4,-0.3,x
1652785653870.8,90.1,46.5,-0.2,x
1652785653887.5,90.1,46.6,-0.2,x
1652785653904.1,90.1,46.6,-0.3,x
1652785653920.7,90.1,46.7,-0.3,x
1652785653954.1,90.1,46.7,-0.6,x
1652785653971,90.1,46.8,-0.7,x
1652785653987.7,90,46.9,-0.8,x
1652785654137.4,89.9,47.1,-1,x
1652785654154.1,90.1,47.1,-1.2,x
1652785654170.7,90.1,47,-1.3,x
1652785654204,90.2,47.1,-1.3,x
1652785654220.6,90.1,47.2,-1.3,x
1652785654270.7,90.1,47.1,-1.3,x
1652785654337.3,90,47.2,-1.2,x
1652785654354.1,90,47.2,-1.1,x
1652785654370.7,90,47.1,-0.8,x
1652785654387.3,90,46.8,-0.6,x
1652785654404,90,46.5,-0.4,x
1652785654420.9,89.9,46.5,-0.2,x
1652785654437.3,89.9,46.5,0,x
1652785654454.9,90,46.4,-0.1,x
1652785654470.9,90.1,46.4,-0.2,x
1652785654487.4,90.2,46.4,-0.3,x
1652785654504,90.3,46.4,-0.3,x
1652785654521.2,90.3,46.3,-0.3,x
1652785654554.1,90.1,46.4,-0.2,x
1652785654587.7,90.1,46.6,-0.2,x
1652785654604.3,90.1,46.6,-0.3,x
1652785654620.7,90.2,46.7,-0.4,x
1652785654670.7,90.2,46.6,-0.4,x
1652785654704.1,90.2,46.7,-0.4,x
1652785654870.7,90,46.7,-0.4,x
1652785654887.4,90,46.8,-0.3,x
1652785654937.3,90,46.9,-0.4,x
1652785654987.4,89.9,47.2,-0.2,x
1652785655004,89.8,47.2,-0.1,x
1652785655020.7,89.8,47.3,-0.1,x
1652785655037.3,89.7,47.4,-0.1,x
1652785655054.1,89.7,47.5,0,x
1652785655070.8,89.6,47.6,0.1,x
1652785655087.3,89.5,47.8,0.1,x
1652785655104,89.4,48,0.1,x
1652785655120.9,89.4,48,0,x
1652785655137.5,89.5,48.2,-0.3,x
1652785655153.9,89.7,48.2,-0.7,x
1652785655171,89.7,48.3,-1,x
1652785655187.8,90,48.7,-1.5,x
1652785655204,90.6,49.3,-2.8,x
1652785655220.7,91.2,49.7,-4.2,x
1652785655238,91.4,49.8,-4.7,x
1652785655254.2,91.8,49.8,-5.6,x
1652785655270.6,92.2,49.7,-6.3,x
1652785655287.6,92.3,49.6,-6.7,x
1652785655304.5,92.8,49.3,-7.6,x
1652785655321,93.4,49.2,-8.8,x
1652785655337.7,93.8,49.1,-9.6,x
1652785655354.3,94.1,49,-9.8,x
1652785655370.8,94.5,49,-10.1,x
1652785655387.6,94.7,49.2,-10.4,x
1652785655403.9,94.9,49.6,-10.7,x
1652785655421,95,49.9,-10.7,x
1652785655437.6,95.3,50.5,-10.8,x
1652785655453.9,95.7,51.2,-10.9,x
1652785655471.4,95.8,51.5,-10.9,x
1652785655487.6,96,52.4,-10.9,x
1652785655504.3,96.2,53.2,-10.9,x
1652785655520.9,96.4,53.5,-11,x
1652785655538,96.9,53.8,-11.2,x
1652785655554.2,97.3,53.7,-11.3,x
1652785655570.6,97.7,53.7,-11.1,x
1652785655588,97.8,53.7,-11.1,x
1652785655603.9,98.3,53.8,-11,x
1652785655620.9,98.8,54,-11.1,x
1652785655637.6,99,54.1,-11.2,x
1652785655653.9,99.5,54.4,-11.3,x
1652785655670.9,99.8,54.5,-11.4,x
1652785655687.3,99.8,54.7,-11.3,x
1652785655704.7,99.8,54.8,-11.2,x
1652785655720.9,99.8,54.9,-11.2,x
1652785655754,99.8,54.9,-11.4,x
1652785655771,99.9,54.8,-11.3,x
1652785655787.6,100,54.6,-11.3,x
1652785655803.9,100.3,54.5,-11.3,x
1652785655837.3,100.7,54.3,-11.4,x
1652785655853.9,100.9,54.2,-11.4,x
1652785655870.5,101,54,-11.5,x
1652785655903.9,101.1,53.9,-11.5,x
1652785655920.6,101.3,53.7,-11.6,x
1652785655937.6,101.5,53.7,-11.8,x
1652785655954.3,101.8,53.7,-12.1,x
1652785655970.7,102,53.9,-12.3,x
1652785656037.4,101.7,53.6,-12.2,x
1652785656120,101.1,53.1,-11.6,x
1652785662126,0,0,0,x
1652785662191.4,90.2,44.9,-0.2,x
1652785662261.9,90.1,44.9,0,x
1652785662274.9,90.1,44.9,0.1,x
1652785662308.8,90.2,44.8,0.2,x
1652785662325.8,90.3,44.8,0,x
1652785662341.3,90.5,44.8,-0.2,x
1652785662375.1,90.6,44.8,-0.2,x
1652785662393,90.7,44.9,-0.2,x
1652785662427.5,90.9,45,-0.5,x
1652785662441.7,90.9,45.1,-0.6,x
1652785662474.7,90.9,45,-0.5,x
1652785662524.8,91,45.1,-0.4,x
1652785662561.4,91,45.2,-0.4,x
1652785662608.1,91.1,45.2,-0.5,x
1652785662641.5,91.2,45.1,-0.6,x
