time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_standing
1658234562695.3,15.9,22.5,-7.5,x
1658234562728.7,15.8,22.5,-7,x
1658234562751.7,15.4,22.9,-6.3,x
1658234562768.9,15.1,23.5,-5.8,x
1658234562785.2,14.8,23.7,-5.1,x
1658234562801.1,14.7,23.7,-4.9,x
1658234562812.2,14.5,23.8,-4.8,x
1658234562833.9,14.1,24.1,-4.3,x
1658234562845.3,13.8,24.2,-3.7,x
1658234562862,13.5,24.2,-3,x
1658234562878.7,12.8,24.2,-1.5,x
1658234562895.5,12.7,24,-1.3,x
1658234562912.6,12.8,23.9,-1.5,x
1658234562928.7,12.8,23.7,-2,x
1658234562945.4,12.6,23.6,-1.6,x
1658234562962,12.4,23.6,-1.3,x
1658234562978.7,12.2,23.9,-0.8,x
1658234562995.4,12.1,23.9,-0.5,x
1658234563012,12.1,23.7,-0.5,x
1658234563028.7,12.2,23.6,-0.8,x
1658234563045.3,12.3,23.5,-1,x
1658234563062,12.3,23.6,-1.1,x
1658234563078.7,12.3,23.8,-1.1,x
1658234563095.4,12.4,24,-1.1,x
1658234563112.6,12.4,24,-1,x
1658234563129.2,12.3,23.8,-0.6,x
1658234563145.8,12.2,23.6,-0.3,x
1658234563162.4,12,23.4,0,x
1658234563179.1,12,23.4,0.1,x
1658234563195.8,12,23.4,-0.1,x
1658234563212.5,12.1,23.6,-0.4,x
1658234563229.1,11.9,23.6,0,x
1658234563245.4,11.7,23.5,0.3,x
1658234563279.1,11.7,23.4,0.5,x
1658234563312.6,11.8,23.7,0.1,x
1658234563329.1,11.7,23.7,0.2,x
1658234563345.8,11.5,23.6,0.4,x
1658234563362.4,11.3,23.6,0.8,x
1658234563379.1,11.1,23.6,1.1,x
1658234563395.6,11,23.7,1.2,x
1658234563429,10.9,24,1,x
1658234563445.7,10.7,24.1,1.2,x
1658234563462.3,10.6,24,1.3,x
1658234563479.1,10.4,23.9,1.5,x
1658234563495.7,10.4,23.8,1.5,x
1658234563512.3,10.3,23.9,1.3,x
1658234563529,10.3,23.9,1.1,x
1658234563545.7,10.3,23.8,1.1,x
1658234563562.3,10.1,23.5,1.3,x
1658234563579.6,10,23.4,1.5,x
1658234563595.7,9.9,23.5,1.7,x
1658234563612.3,9.8,23.7,1.7,x
1658234563629,9.8,23.9,1.8,x
1658234563662.3,9.7,24.1,1.9,x
1658234563679.5,9.6,24.1,2.1,x
1658234563712.3,9.7,24.2,2.1,x
1658234563795.7,9.8,24.1,2,x
1658234563813.2,9.8,24.2,2.1,x
1658234563828.9,9.9,24.2,2.2,x
1658234563863.1,10,24.1,2,x
1658234563921.4,9.8,24.3,2,x
1658234563962.3,9.6,24.4,1.9,x
1658234563995.6,9.5,24.5,2,x
1658234564012.2,9.4,24.6,2.1,x
1658234564028.9,9.4,24.7,2.3,x
1658234564045.7,9.3,24.7,2.4,x
1658234564079.1,9.3,24.6,2.4,x
1658234564129.1,9.3,24.5,2.3,x
1658234564212.3,9.3,24.4,2.2,x
1658234564262.3,9.4,24.4,2.1,x
1658234564279.2,9.5,24.4,2,x
1658234564295.6,9.5,24.3,2,x
1658234564312.4,9.6,24.3,1.9,x
1658234564329,9.6,24.2,1.7,x
1658234564345.7,9.7,24.2,1.6,x
1658234564362.5,9.7,24.1,1.5,x
1658234564395.7,9.7,24,1.4,x
1658234564446.6,9.6,23.8,1.4,x
1658234564479.2,9.5,23.8,1.5,x
1658234564496.6,9.5,23.9,1.5,x
1658234564512.3,9.5,23.9,1.6,x
1658234564546.6,9.6,24,1.7,x
1658234564579.1,9.7,24,1.6,x
1658234564595.7,9.7,24.1,1.5,x
1658234564646.6,9.9,24.1,1.4,x
1658234564662.3,9.9,24.1,1.3,x
1658234564679.1,10,24,1.1,x
1658234564695.7,10.1,24,1,x
1658234564712.4,10.2,24,0.8,x
1658234564877.9,10,24.1,0.8,x
1658234564895.5,10,24.2,0.8,x
1658234564928.8,10.1,24.3,0.8,x
1658234565047,10.1,24.4,0.8,x
