time,sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined]
1653402200740,0,0,0
1653402200742,89.34,27.43,1.33
1653402200743,89.54,27.11,0.86
1653402200748,89.74,26.6,0.39
1653402200753,89.94,26.05,-0.06
1653402200757,90.08,25.45,-0.41
1653402200770,90.18,24.89,-0.66
1653402200770,90.23,24.35,-0.82
1653402200773,90.25,23.84,-0.94
1653402200777,90.25,23.39,-1.07
1653402200781,90.25,22.96,-1.22
1653402200786,90.23,22.56,-1.36
1653402200791,90.19,22.19,-1.51
1653402200796,90.12,21.83,-1.65
1653402200801,90.03,21.51,-1.75
1653402200805,89.91,21.2,-1.81
1653402200811,89.76,20.94,-1.8
1653402200817,89.6,20.71,-1.74
1653402200821,89.43,20.51,-1.63
1653402200866,89.25,20.33,-1.49
1653402200867,89.08,20.17,-1.34
1653402201051,88.92,20.01,-1.15
1653402201051,88.72,19.88,-0.99
1653402201052,88.26,19.52,-0.54
1653402201052,88.57,19.76,-0.83
1653402201052,88.41,19.64,-0.68
1653402201053,88.12,19.41,-0.41
1653402201054,87.98,19.35,-0.29
1653402201054,87.85,19.28,-0.19
1653402201062,87.61,19.13,-0.06
1653402201062,87.72,19.2,-0.11
1653402201063,87.5,19.05,-0.02
1653402201064,87.23,18.59,-0.63
1653402201064,87.24,18.44,-1.46
1653402201064,87.27,18.87,0.07
1653402201064,87.22,18.67,-0.31
1653402201064,87.22,18.77,-0.07
1653402201064,87.38,18.96,0.03
1653402201064,87.24,18.51,-1.02
1653402201069,87.17,18.32,-2.34
1653402201069,87.22,18.38,-1.9
1653402201070,87.09,18.25,-2.76
1653402201074,86.98,18.16,-3.14
1653402201075,86.85,18.06,-3.48
1653402201076,86.71,17.94,-3.78
1653402201077,86.54,17.81,-4.03
1653402201078,86.36,17.67,-4.22
1653402201078,86.17,17.53,-4.36
1653402201079,85.98,17.38,-4.44
1653402201080,85.79,17.23,-4.47
1653402201080,85.61,17.08,-4.46
1653402201081,85.44,16.94,-4.43
1653402201082,85.28,16.79,-4.37
1653402201083,85.01,16.54,-4.28
1653402201083,85.13,16.66,-4.32
1653402201084,84.9,16.43,-4.28
1653402201086,84.81,16.34,-4.33
1653402201087,84.74,16.26,-4.43
1653402201089,84.67,16.2,-4.6
1653402201090,84.61,16.16,-4.81
1653402201092,84.55,16.12,-5.07
1653402201093,84.48,16.1,-5.38
1653402201093,84.4,16.08,-5.73
1653402201094,84.31,16.06,-6.11
