time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined],label_activities_walking
1664285168910.8,0.2,0.5,-0.4,0,5.9,7.8,-1.1,6.3,-4.3,
1664285168927.3,-0.1,0.2,-0.2,-0.3,5.8,7.9,-6.6,3.1,-2.9,x
1664285168943.9,-0.1,0.2,-0.2,-0.3,5.7,8.2,-9.8,0.3,-1.9,x
1664285168960.8,0,-0.1,0.4,-0.2,5.5,8.5,-11.6,-4.6,-2.6,x
1664285168977.5,-0.1,-0.1,0.3,-0.3,5.4,8.5,-7.7,-1.7,-5,x
1664285168994.1,-0.1,0,0.3,-0.3,5.5,8.4,-5.6,0.3,-5.4,x
1664285169010.5,0,0.1,0.2,-0.2,5.5,8.3,-2.9,2,-7.1,x
1664285169027.1,0,0.3,-0.1,-0.3,5.7,8,1.2,0.5,-9.8,x
1664285169043.8,-0.1,0.4,-0.4,-0.3,5.8,7.7,2.9,0.8,-10.2,x
1664285169060.7,-0.2,0.3,-0.7,-0.4,6,7.3,2.8,2.7,-8.8,x
1664285169077.2,-0.5,0.2,-0.4,-0.8,6,7.5,-3.3,4.2,-4,x
1664285169093.8,-0.3,0.1,-0.2,-0.8,6,7.7,-4.8,2.6,-0.4,x
1664285169110.5,0.1,0.1,0,-0.4,5.9,7.8,-5.8,-3.5,5,x
1664285169127.2,0.3,0,0,-0.1,5.9,7.9,-5.3,-4.3,6.6,x
1664285169143.8,0.2,-0.1,0.1,-0.1,5.8,7.9,-5.1,-3,6.7,x
1664285169160.5,0.2,-0.1,0,-0.1,5.8,7.9,-3.9,-2.5,7.4,x
1664285169177.2,0.3,0,-0.3,0.1,5.8,7.6,-1.7,-4,8.5,x
1664285169193.8,0.4,0,-0.4,0.2,5.9,7.4,-2.3,-3.3,8.6,x
1664285169210.7,0.1,-0.1,-0.3,0.1,5.9,7.5,-5.7,-1.8,7.9,x
1664285169227.1,0.1,-0.1,0,0,5.9,7.8,-8,-2.9,7.9,x
1664285169243.8,0.1,-0.1,0,0.1,5.9,7.9,-8,-2.9,7.9,x
1664285169261.5,0.1,0.1,0.2,0,6,8,-5.7,-2,5.4,x
1664285169277.4,-0.2,0.1,0.3,-0.2,6.1,8.1,-2.1,0.3,4.3,x
1664285169294.5,-0.2,0.2,0.3,-0.3,6.1,8.1,-0.3,3.2,4.7,x
1664285169311.5,-0.1,0.3,0.2,-0.2,6.2,8,1.7,7.4,6.1,x
1664285169327,-0.1,0.5,0.2,-0.2,6.4,8,2.5,8.1,6,x
1664285169346.2,-0.1,0.5,0.2,-0.1,6.5,8,2.5,8.1,6,x
1664285169360.2,0.1,0.5,0.3,0,6.6,8,0.9,6.5,6.4,x
1664285169378.1,-0.1,0.5,0.8,-0.2,6.6,8.5,-0.2,7.2,6.4,x
1664285169393.4,0.1,0.6,1.2,0,6.7,8.9,2.7,5.7,8.1,x
1664285169410.1,0.1,0.7,1.2,0.3,6.8,8.9,6.1,5.1,8.2,x
1664285169426.6,0.7,1.3,0.7,0.7,7.3,8.5,10.7,9.2,6.3,x
1664285169443.5,-0.1,0.3,0,0.1,6.5,7.7,-1,14.7,6.7,x
1664285169461.4,-0.5,-0.4,0.4,-0.3,5.8,8,-14.3,15.4,8.1,x
1664285169477.1,-0.6,-1.1,2.4,-0.5,4.8,10.1,-32,-3,8.5,x
1664285169493.8,-0.3,-1.3,2.9,-0.4,4.4,10.9,-30.8,-15.3,6.6,x
1664285169510.5,0.2,-0.8,2.9,0.1,4.3,11.3,-10.4,-29.1,0.3,x
1664285169527.1,0.1,-0.6,1.6,0,4.2,10.1,13.4,-18.9,-1.9,x
